,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
751,Crocidura monax,16,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
752,Crocidura monticola,6.6,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
753,Crocidura montis,14.49,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
754,Crocidura muricauda,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
755,Crocidura musseri,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
756,Crocidura mutesae,23.91,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
757,Crocidura nana,7,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
758,Crocidura nanilla,6.5,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
759,Crocidura negligens,12,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
760,Crocidura negrina,11.33,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
761,Crocidura nicobarica,28.9,EULIPOTYPHLA,SORICIDAE,Crocidura,CR,Insectivore
762,Crocidura nigeriae,23,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
763,Crocidura nigripes,13.2,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
764,Crocidura nigrofusca,11.75,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
765,Crocidura nimbae,15.502,EULIPOTYPHLA,SORICIDAE,Crocidura,NT,Insectivore
766,Crocidura niobe,16,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
767,Crocidura obscurior,4,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
768,Crocidura olivieri,34.42,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
769,Crocidura orientalis,12,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
770,Crocidura orii,14.4,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
771,Crocidura pachyura,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
772,Crocidura palawanensis,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
773,Crocidura paradoxura,8.23,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
774,Crocidura parvipes,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
775,Crocidura pasha,6.5,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
776,Crocidura pergrisea,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
777,Crocidura phaeura,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
778,Crocidura picea,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
779,Crocidura pitmani,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
780,Crocidura poensis,17.05,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
781,Crocidura polia,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
782,Crocidura pullata,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
783,Crocidura raineyi,14.49,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
784,Crocidura ramona,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
785,Crocidura religiosa,7,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
786,Crocidura rhoditis,14,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
787,Crocidura roosevelti,11,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
788,Crocidura russula,9.89,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
789,Crocidura selina,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
790,Crocidura serezkyensis,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
791,Crocidura shantungensis,4.5,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
792,Crocidura sibirica,73,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
793,Crocidura sicula,6.9,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
794,Crocidura silacea,7,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
795,Crocidura smithii,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
796,Crocidura somalica,11.5,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
797,Crocidura stenocephala,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
798,Crocidura suaveolens,7.35,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
799,Crocidura susiana,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
800,Crocidura tanakae,14.5,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
801,Crocidura tansaniana,12,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
802,Crocidura tarella,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
803,Crocidura tarfayensis,6.59,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
804,Crocidura telfordi,13.6,EULIPOTYPHLA,SORICIDAE,Crocidura,VU,Insectivore
805,Crocidura tenuis,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
806,Crocidura thalia,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
807,Crocidura theresae,17.6,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
808,Crocidura thomensis,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,EN,Insectivore
809,Crocidura turba,14.49,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
810,Crocidura ultima,16,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
811,Crocidura usambarae,11.83,EULIPOTYPHLA,SORICIDAE,Crocidura,VU,Insectivore
812,Crocidura viaria,16.49,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
813,Crocidura virgata,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
814,Crocidura voi,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
815,Crocidura vorax,8.157340556,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
816,Crocidura vosmaeri,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
817,Crocidura watasei,6.5,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
818,Crocidura whitakeri,5.58,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
819,Crocidura wimmeri,23.5,EULIPOTYPHLA,SORICIDAE,Crocidura,CR,Insectivore
820,Crocidura wuchihensis,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
821,Crocidura xantippe,11.4,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
822,Crocidura yankariensis,4.99,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
823,Crocidura zaphiri,11.79289643,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
824,Crocidura zarudnyi,6.708,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,Insectivore
825,Crocidura zimmeri,14.49,EULIPOTYPHLA,SORICIDAE,Crocidura,DD,Insectivore
826,Crocidura zimmermanni,7.76,EULIPOTYPHLA,SORICIDAE,Crocidura,VU,Insectivore
827,Crossarchus alexandri,1503.4,CARNIVORA,HERPESTIDAE,Crossarchus,LC,Omnivore
828,Crossarchus ansorgei,700,CARNIVORA,HERPESTIDAE,Crossarchus,LC,Omnivore
829,Crossarchus obscurus,1395.09,CARNIVORA,HERPESTIDAE,Crossarchus,LC,Omnivore
830,Crossarchus platycephalus,1250,CARNIVORA,HERPESTIDAE,Crossarchus,LC,Omnivore
831,Crossomys moncktoni,168.42,RODENTIA,MURIDAE,Crossomys,LC,Insectivore
832,Crunomys celebensis,42.5,RODENTIA,MURIDAE,Crunomys,DD,Insectivore
833,Crunomys fallax,42.5,RODENTIA,MURIDAE,Crunomys,DD,Omnivore
834,Crunomys melanius,42.5,RODENTIA,MURIDAE,Crunomys,VU,Omnivore
835,Crunomys suncoides,42.5,RODENTIA,MURIDAE,Crunomys,DD,Insectivore
836,Cryptochloris zyli,21,AFROSORICIDA,CHRYSOCHLORIDAE,Cryptochloris,EN,Insectivore
837,Cryptomys hottentotus,75.13,RODENTIA,BATHYERGIDAE,Cryptomys,LC,Herbivore
838,Cryptonanus agricolai,196.8175859,DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,DD,Omnivore
839,Cryptonanus chacoensis,196.8175859,DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,LC,Omnivore
840,Cryptonanus guahybae,196.8175859,DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,DD,Omnivore
841,Cryptotis alticola,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
842,Cryptotis brachyonyx,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
843,Cryptotis colombiana,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
844,Cryptotis endersi,8,EULIPOTYPHLA,SORICIDAE,Cryptotis,EN,Insectivore
845,Cryptotis equatoris,7.7,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
846,Cryptotis goldmani,6.73,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
847,Cryptotis goodwini,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
848,Cryptotis gracilis,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
849,Cryptotis griseoventris,9,EULIPOTYPHLA,SORICIDAE,Cryptotis,EN,Insectivore
850,Cryptotis hondurensis,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
851,Cryptotis magna,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
852,Cryptotis mayensis,5,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
853,Cryptotis medellinia,16,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
854,Cryptotis meridensis,12.63,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
855,Cryptotis merriami,5,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
856,Cryptotis mexicana,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
857,Cryptotis montivaga,11.29,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
858,Cryptotis nelsoni,8,EULIPOTYPHLA,SORICIDAE,Cryptotis,CR,Insectivore
859,Cryptotis nigrescens,8.32,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
860,Cryptotis obscura,6.9,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
861,Cryptotis orophila,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
862,Cryptotis parva,4.97,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
863,Cryptotis peregrina,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
864,Cryptotis peruviensis,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
865,Cryptotis phillipsii,8.3,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
866,Cryptotis squamipes,11,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
867,Cryptotis tamensis,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
868,Cryptotis thomasi,11.77,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
869,Cryptotis tropicalis,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
870,Ctenodactylus gundi,288.41,RODENTIA,CTENODACTYLIDAE,Ctenodactylus,LC,Herbivore
871,Ctenodactylus vali,173.6,RODENTIA,CTENODACTYLIDAE,Ctenodactylus,DD,Herbivore
872,Ctenomys argentinus,221.3,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
873,Ctenomys australis,403.32,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
874,Ctenomys azarae,400,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
875,Ctenomys bergi,5.428350776,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
876,Ctenomys boliviensis,462.6,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
877,Ctenomys bonettoi,202.3,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
878,Ctenomys colburni,400,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
879,Ctenomys coludo,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
880,Ctenomys conoveri,859.99,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
881,Ctenomys coyhaiquensis,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
882,Ctenomys dorbignyi,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
883,Ctenomys dorsalis,165.6,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
884,Ctenomys emilianus,285.29,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
885,Ctenomys flamarioni,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
886,Ctenomys fodax,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
887,Ctenomys frater,172.9,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
888,Ctenomys fulvus,279.88,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
889,Ctenomys goodfellowi,5.428350776,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
890,Ctenomys haigi,164,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
891,Ctenomys johannis,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
892,Ctenomys knighti,316,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
893,Ctenomys lami,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
894,Ctenomys latro,192,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
895,Ctenomys leucodon,243.6,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
896,Ctenomys lewisi,117.2,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
897,Ctenomys magellanicus,271.44,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
898,Ctenomys maulinus,215,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
899,Ctenomys mendocinus,178.44,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
900,Ctenomys minutus,92,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
901,Ctenomys occultus,150,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
902,Ctenomys opimus,327.05,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
903,Ctenomys osvaldoreigi,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,CR,Herbivore
904,Ctenomys pearsoni,212,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
905,Ctenomys perrensi,400,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
906,Ctenomys peruanus,488.36,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
907,Ctenomys pilarensis,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
908,Ctenomys porteousi,192.4,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
909,Ctenomys pundti,163.05,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
910,Ctenomys rionegrensis,5.428350776,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
911,Ctenomys roigi,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,CR,Herbivore
912,Ctenomys saltarius,230,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
913,Ctenomys scagliai,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
914,Ctenomys sericeus,400,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
915,Ctenomys sociabilis,400,RODENTIA,CTENOMYIDAE,Ctenomys,CR,Herbivore
916,Ctenomys steinbachi,384.99,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
917,Ctenomys talarum,140.84,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
918,Ctenomys torquatus,209.49,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
919,Ctenomys tuconax,248.99,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
920,Ctenomys tucumanus,217,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
921,Ctenomys validus,232.6,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
922,Ctenomys viperinus,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
923,Cuniculus paca,8172.55,RODENTIA,CUNICULIDAE,Cuniculus,LC,Herbivore
924,Cuniculus taczanowskii,8999.95,RODENTIA,CUNICULIDAE,Cuniculus,NT,Omnivore
925,Cuscomys ashaninka,164.2793,RODENTIA,ABROCOMIDAE,Cuscomys,DD,Herbivore
926,Cyclopes didactylus,263.95,PILOSA,CYCLOPEDIDAE,Cyclopes,LC,Insectivore
927,Cynictis penicillata,694.41,CARNIVORA,HERPESTIDAE,Cynictis,LC,Carnivore
928,Cynocephalus volans,1250,DERMOPTERA,CYNOCEPHALIDAE,Cynocephalus,LC,Herbivore
929,Cynomops abrasus,35.39,CHIROPTERA,MOLOSSIDAE,Cynomops,DD,Insectivore
930,Cynomops greenhalli,15.87,CHIROPTERA,MOLOSSIDAE,Cynomops,LC,Insectivore
931,Cynomops mexicanus,19.065,CHIROPTERA,MOLOSSIDAE,Cynomops,LC,Insectivore
932,Cynomops paranus,12.16,CHIROPTERA,MOLOSSIDAE,Cynomops,DD,Insectivore
933,Cynomops planirostris,12.84,CHIROPTERA,MOLOSSIDAE,Cynomops,LC,Insectivore
934,Cynomys gunnisoni,797.93,RODENTIA,SCIURIDAE,Cynomys,LC,Herbivore
935,Cynomys leucurus,963.76,RODENTIA,SCIURIDAE,Cynomys,LC,Herbivore
936,Cynomys mexicanus,899.98,RODENTIA,SCIURIDAE,Cynomys,EN,Herbivore
937,Cynopterus brachyotis,33.87,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
938,Cynopterus horsfieldii,56.01,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
939,Cynopterus luzoniensis,43.874,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
940,Cynopterus minutus,26.45,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
941,Cynopterus nusatenggara,43.874,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
942,Cynopterus sphinx,44.71,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
943,Cynopterus titthaecheilus,58.33,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
944,Cyttarops alecto,5.3,CHIROPTERA,EMBALLONURIDAE,Cyttarops,LC,Insectivore
945,Dacnomys millardi,141.0605074,RODENTIA,MURIDAE,Dacnomys,DD,Omnivore
946,Dactylomys boliviensis,728.8,RODENTIA,ECHIMYIDAE,Dactylomys,LC,Herbivore
947,Dactylomys dactylinus,649.98,RODENTIA,ECHIMYIDAE,Dactylomys,LC,Herbivore
948,Dactylomys peruanus,382,RODENTIA,ECHIMYIDAE,Dactylomys,DD,Herbivore
949,Dactylonax palpator,359,DIPROTODONTIA,PETAURIDAE,Dactylonax,LC,Insectivore
950,Dactylopsila megalura,319.2747,DIPROTODONTIA,PETAURIDAE,Dactylopsila,LC,Omnivore
951,Dactylopsila tatei,252,DIPROTODONTIA,PETAURIDAE,Dactylopsila,EN,Omnivore
952,Dactylopsila trivirgata,413.41,DIPROTODONTIA,PETAURIDAE,Dactylopsila,LC,Insectivore
953,Dama dama,57224.61,CETARTIODACTYLA,CERVIDAE,Dama,LC,Herbivore
954,Dama mesopotamica,57224.61,CETARTIODACTYLA,CERVIDAE,Dama,EN,Herbivore
955,Dasycercus blythi,99.54,DASYUROMORPHIA,DASYURIDAE,Dasycercus,LC,Carnivore
956,Dasykaluta rosamondae,32.17,DASYUROMORPHIA,DASYURIDAE,Dasykaluta,LC,Carnivore
957,Dasymys foxi,81.91666667,RODENTIA,MURIDAE,Dasymys,DD,Herbivore
958,Dasymys incomtus,127.75,RODENTIA,MURIDAE,Dasymys,LC,Herbivore
959,Dasymys montanus,59,RODENTIA,MURIDAE,Dasymys,EN,Herbivore
960,Dasymys nudipes,81.91666667,RODENTIA,MURIDAE,Dasymys,DD,Herbivore
961,Dasymys rufulus,59,RODENTIA,MURIDAE,Dasymys,LC,Herbivore
962,Dasyprocta azarae,2976.81,RODENTIA,DASYPROCTIDAE,Dasyprocta,DD,Herbivore
963,Dasyprocta coibae,8.082422901,RODENTIA,DASYPROCTIDAE,Dasyprocta,VU,Herbivore
964,Dasyprocta fuliginosa,3500.02,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
965,Dasyprocta guamara,2650.03,RODENTIA,DASYPROCTIDAE,Dasyprocta,NT,Herbivore
966,Dasyprocta kalinowskii,2650.03,RODENTIA,DASYPROCTIDAE,Dasyprocta,DD,Herbivore
967,Dasyprocta leporina,3009.99,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
968,Dasyprocta mexicana,4999.99,RODENTIA,DASYPROCTIDAE,Dasyprocta,CR,Herbivore
969,Dasyprocta prymnolopha,2900,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
970,Dasyprocta punctata,2309.12,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
971,Dasyprocta ruatanica,2300,RODENTIA,DASYPROCTIDAE,Dasyprocta,EN,Herbivore
972,Dasypus hybridus,1500,CINGULATA,DASYPODIDAE,Dasypus,NT,Insectivore
973,Dasypus kappleri,9702.83,CINGULATA,DASYPODIDAE,Dasypus,LC,Insectivore
974,Dasypus novemcinctus,3949.01,CINGULATA,DASYPODIDAE,Dasypus,LC,Insectivore
975,Dasypus pilosus,4444.98,CINGULATA,DASYPODIDAE,Dasypus,DD,Insectivore
976,Dasypus sabanicola,1150.01,CINGULATA,DASYPODIDAE,Dasypus,NT,Insectivore
977,Dasypus septemcinctus,1526.64,CINGULATA,DASYPODIDAE,Dasypus,LC,Insectivore
978,Dasypus yepesi,3712.245,CINGULATA,DASYPODIDAE,Dasypus,DD,Insectivore
979,Dasyurus albopunctatus,603.48,DASYUROMORPHIA,DASYURIDAE,Dasyurus,NT,Carnivore
980,Dasyurus hallucatus,470.92,DASYUROMORPHIA,DASYURIDAE,Dasyurus,EN,Insectivore
981,Dasyurus spartacus,885.67,DASYUROMORPHIA,DASYURIDAE,Dasyurus,NT,Omnivore
982,Daubentonia madagascariensis,2731.37,PRIMATES,DAUBENTONIIDAE,Daubentonia,EN,Omnivore
983,Delanymys brooksi,4.99,RODENTIA,NESOMYIDAE,Delanymys,VU,Omnivore
984,Delomys collinus,67,RODENTIA,CRICETIDAE,Delomys,LC,Omnivore
985,Delomys dorsalis,67.5,RODENTIA,CRICETIDAE,Delomys,LC,Omnivore
986,Delomys sublineatus,89.99,RODENTIA,CRICETIDAE,Delomys,LC,Omnivore
987,Deltamys kempi,26.4,RODENTIA,CRICETIDAE,Deltamys,LC,Omnivore
988,Dendrogale melanura,59.99,SCANDENTIA,TUPAIIDAE,Dendrogale,DD,Insectivore
989,Dendrogale murina,49.99,SCANDENTIA,TUPAIIDAE,Dendrogale,LC,Insectivore
990,Dendrohyrax arboreus,2981.11,HYRACOIDEA,PROCAVIIDAE,Dendrohyrax,LC,Herbivore
991,Dendrohyrax dorsalis,3174.99,HYRACOIDEA,PROCAVIIDAE,Dendrohyrax,LC,Herbivore
992,Dendrohyrax validus,2430,HYRACOIDEA,PROCAVIIDAE,Dendrohyrax,NT,Herbivore
993,Dendrolagus bennettianus,10458.82,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,NT,Herbivore
994,Dendrolagus dorianus,8976.58,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
995,Dendrolagus goodfellowi,7948.78,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,EN,Herbivore
996,Dendrolagus inustus,12625,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
997,Dendrolagus mbaiso,9395.06,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,EN,Herbivore
998,Dendrolagus notatus,9469.198333,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,EN,Herbivore
999,Dendrolagus pulcherrimus,8025,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,CR,Herbivore
1000,Dendrolagus scottae,9958.58,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,CR,Herbivore
1001,Dendrolagus spadix,8468.2,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1002,Dendrolagus stellarum,9581,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1003,Dendrolagus ursinus,13249.99,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1004,Dendromus insignis,11.051,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1005,Dendromus kahuziensis,3.009225357,RODENTIA,NESOMYIDAE,Dendromus,CR,Omnivore
1006,Dendromus kivu,8.508934408,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1007,Dendromus lovati,12,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1008,Dendromus melanotis,9.1,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1009,Dendromus mesomelas,10.2,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1010,Dendromus messorius,4.039489771,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1011,Dendromus mystacalis,8.17,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1012,Dendromus nyikae,15,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1013,Dendromus oreas,4.010694547,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1014,Dendroprionomys rousseloti,115.8328212,RODENTIA,NESOMYIDAE,Dendroprionomys,DD,Insectivore
1015,Deomys ferrugineus,57.6,RODENTIA,MURIDAE,Deomys,LC,Insectivore
1016,Dephomys defua,43.05,RODENTIA,MURIDAE,Dephomys,LC,Omnivore
1017,Desmana moschata,427.64,EULIPOTYPHLA,TALPIDAE,Desmana,EN,Insectivore
1018,Desmodilliscus braueri,10,RODENTIA,MURIDAE,Desmodilliscus,LC,Herbivore
1019,Desmodillus auricularis,54.81,RODENTIA,MURIDAE,Desmodillus,LC,Omnivore
1020,Desmodus rotundus,33.16,CHIROPTERA,PHYLLOSTOMIDAE,Desmodus,LC,Insectivore
