,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
1000,Dendrolagus spadix,8468.2,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore,22232.3591513998
1001,Dendrolagus stellarum,9581.0,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore,40394.0046553602
1002,Dendrolagus ursinus,13249.99,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore,26459.6387083561
1003,Dendromus insignis,11.051,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,8611.1250234295
1004,Dendromus kahuziensis,3.009225357,RODENTIA,NESOMYIDAE,Dendromus,CR,Omnivore,313.1318190338
1005,Dendromus kivu,8.508934408,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,23328.3205180181
1006,Dendromus lovati,12.0,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,626.2636380676
1007,Dendromus melanotis,9.1,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,1649108.72494151
1008,Dendromus mesomelas,10.2,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,187252.827782212
1009,Dendromus messorius,4.039489771,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,156.5659095169
1010,Dendromus mystacalis,8.17,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,1392653.76515283
1011,Dendromus nyikae,15.0,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,829173.056801502
1012,Dendromus oreas,4.010694547,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore,1409.0931856521
1013,Dendroprionomys rousseloti,115.8328212,RODENTIA,NESOMYIDAE,Dendroprionomys,DD,Carnivore,313.1318190338
1014,Deomys ferrugineus,57.6,RODENTIA,MURIDAE,Deomys,LC,Carnivore,600586.828906828
1015,Dephomys defua,43.05,RODENTIA,MURIDAE,Dephomys,LC,Omnivore,159697.227707238
1016,Desmana moschata,427.64,EULIPOTYPHLA,TALPIDAE,Desmana,EN,Carnivore,3287.8840998549
1017,Desmodilliscus braueri,10.0,RODENTIA,MURIDAE,Desmodilliscus,LC,Herbivore,255358.998422064
1018,Desmodillus auricularis,54.81,RODENTIA,MURIDAE,Desmodillus,LC,Omnivore,352116.730503508
1019,Desmodus rotundus,33.16,CHIROPTERA,PHYLLOSTOMIDAE,Desmodus,LC,Carnivore,1165946.32817235
1020,Desmomys harringtoni,89.99,RODENTIA,MURIDAE,Desmomys,LC,Omnivore,173161.895925691
1021,Desmomys yaldeni,89.99,RODENTIA,MURIDAE,Desmomys,VU,Omnivore,5636.3727426084
1022,Diaemus youngi,36.71,CHIROPTERA,PHYLLOSTOMIDAE,Diaemus,LC,Carnivore,6057378.47329934
1023,Diclidurus albus,16.56,CHIROPTERA,EMBALLONURIDAE,Diclidurus,LC,Carnivore,3897238.61969467
1024,Diclidurus ingens,12.3,CHIROPTERA,EMBALLONURIDAE,Diclidurus,DD,Carnivore,1194911.02143298
1025,Diclidurus scutatus,13.62,CHIROPTERA,EMBALLONURIDAE,Diclidurus,LC,Carnivore,829955.886349087
1026,Dicrostonyx groenlandicus,58.44,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore,851405.415952902
1027,Dicrostonyx hudsonius,57.0,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore,205571.03919569
1028,Dicrostonyx nelsoni,55.0,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore,138247.698103423
1029,Dicrostonyx nunatakensis,54.4,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore,16909.1182278252
1030,Dicrostonyx richardsoni,55.0,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore,228899.359713708
1031,Dicrostonyx torquatus,78.77,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore,1750250.30248942
1032,Dicrostonyx unalascensis,59.76833333,RODENTIA,CRICETIDAE,Dicrostonyx,DD,Herbivore,939.3954571014
1033,Dicrostonyx vinogradovi,59.76833333,RODENTIA,CRICETIDAE,Dicrostonyx,DD,Herbivore,5636.3727426084
1034,Didelphis albiventris,1030.47,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore,3688379.69639913
1035,Didelphis aurita,1105.88,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore,797546.743079089
1036,Didelphis imperfecta,904.003,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore,443551.221661378
1037,Didelphis marsupialis,1134.75,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore,7414961.47472038
1038,Didelphis pernigra,904.003,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore,811950.806754643
1039,Didelphis virginiana,2442.08,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore,2861085.43051183
1040,Dinaromys bogdanovi,56.0,RODENTIA,CRICETIDAE,Dinaromys,VU,Herbivore,79535.4820345852
1041,Dinomys branickii,12500.0,RODENTIA,DINOMYIDAE,Dinomys,LC,Herbivore,1021749.12550729
1042,Diomys crumpi,141.0605074,RODENTIA,MURIDAE,Diomys,DD,Omnivore,96.6047253027344
1043,Diphylla ecaudata,28.11,CHIROPTERA,PHYLLOSTOMIDAE,Diphylla,LC,Carnivore,2775130.74618705
1044,Diplomesodon pulchellum,11.0,EULIPOTYPHLA,SORICIDAE,Diplomesodon,LC,Carnivore,486763.412688042
1045,Diplomys caniceps,394.49,RODENTIA,ECHIMYIDAE,Diplomys,DD,Herbivore,626.2636380676
1046,Diplomys labilis,282.17,RODENTIA,ECHIMYIDAE,Diplomys,LC,Herbivore,85641.5525057443
1047,Diplothrix legata,63.85388804,RODENTIA,MURIDAE,Diplothrix,EN,Omnivore,782.8295475845
1048,Dipodomys agilis,60.21,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,9393.954571014
1049,Dipodomys californicus,84.95,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,57303.1228831854
1050,Dipodomys compactus,49.25,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,33661.6705461335
1051,Dipodomys deserti,107.63,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore,20353.568237197
1052,Dipodomys elator,105.82,RODENTIA,HETEROMYIDAE,Dipodomys,VU,Omnivore,10959.613666183
1053,Dipodomys heermanni,63.08,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,10489.9159376323
1054,Dipodomys ingens,113.61,RODENTIA,HETEROMYIDAE,Dipodomys,EN,Herbivore,3131.318190338
1055,Dipodomys merriami,37.91,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore,35227.3296413025
1056,Dipodomys microps,56.26,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,30060.6546272448
1057,Dipodomys nelsoni,87.93,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore,192419.50279627
1058,Dipodomys nitratoides,41.59,RODENTIA,HETEROMYIDAE,Dipodomys,VU,Herbivore,12368.7068518351
1059,Dipodomys ordii,50.4,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore,225924.607432887
1060,Dipodomys panamintinus,73.67,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,20666.7000562308
1061,Dipodomys phillipsii,41.0,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,4383.8454664732
1062,Dipodomys simulans,57.7,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,5792.9386521253
1063,Dipodomys spectabilis,124.61,RODENTIA,HETEROMYIDAE,Dipodomys,NT,Omnivore,10020.2182090816
1064,Dipodomys stephensi,68.49,RODENTIA,HETEROMYIDAE,Dipodomys,EN,Omnivore,156.5659095169
1065,Dipodomys venustus,81.52,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore,6106.0704711591
1066,Dipus sagitta,89.0,RODENTIA,DIPODIDAE,Dipus,LC,Omnivore,165959.864087914
1067,Distoechurus pennatus,52.74,DIPROTODONTIA,ACROBATIDAE,Distoechurus,LC,Omnivore,404253.178372636
1068,Dobsonia anderseni,233.99,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,43055.6251171475
1069,Dobsonia beauforti,165.35,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,4227.2795569563
1070,Dobsonia chapmani,224.3275,CHIROPTERA,PTEROPODIDAE,Dobsonia,CR,Herbivore,29.1132396210937
1071,Dobsonia crenulata,218.21,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,30217.2205367617
1072,Dobsonia emersa,201.06,CHIROPTERA,PTEROPODIDAE,Dobsonia,VU,Herbivore,1878.7909142028
1073,Dobsonia exoleta,302.03,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,21449.5296038153
1074,Dobsonia inermis,152.6,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,28651.5614415927
1075,Dobsonia minor,85.95,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,358692.498703218
1076,Dobsonia moluccensis,447.64,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,27868.7318940082
1077,Dobsonia pannietensis,239.19,CHIROPTERA,PTEROPODIDAE,Dobsonia,NT,Herbivore,3131.318190338
1078,Dobsonia peronii,226.51,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,782.8295475845
1079,Dobsonia praedatrix,178.74,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,17848.5136849266
1080,Dobsonia viridis,240.66,CHIROPTERA,PTEROPODIDAE,Dobsonia,LC,Herbivore,10489.9159376323
1081,Dolichotis patagonum,8000.0,RODENTIA,CAVIIDAE,Dolichotis,NT,Herbivore,617652.51304417
1082,Dolichotis salinicola,1607.6,RODENTIA,CAVIIDAE,Dolichotis,LC,Herbivore,33974.8023651673
1083,Dorcopsis atrata,6198.87,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,CR,Herbivore,156.5659095169
1084,Dorcopsis hageni,5499.99,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,LC,Herbivore,53388.9751452629
1085,Dorcopsis luctuosa,4939.56,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,VU,Herbivore,95505.204805309
1086,Dorcopsis muelleri,5370.79,DIPROTODONTIA,MACROPODIDAE,Dorcopsis,LC,Herbivore,74525.3729300444
1087,Dorcopsulus macleayi,2780.54,DIPROTODONTIA,MACROPODIDAE,Dorcopsulus,LC,Herbivore,23015.1886989843
1088,Dorcopsulus vanheurni,1890.36,DIPROTODONTIA,MACROPODIDAE,Dorcopsulus,NT,Herbivore,155000.250421731
1089,Dremomys everetti,129.78,RODENTIA,SCIURIDAE,Dremomys,LC,Omnivore,62939.4956257938
1090,Dremomys gularis,246.4344257,RODENTIA,SCIURIDAE,Dremomys,LC,Omnivore,10020.2182090816
1091,Dremomys lokriah,226.99,RODENTIA,SCIURIDAE,Dremomys,LC,Omnivore,101611.275276468
1092,Dremomys pernyi,198.63,RODENTIA,SCIURIDAE,Dremomys,LC,Omnivore,726465.820158416
1093,Dremomys pyrrhomerus,245.0,RODENTIA,SCIURIDAE,Dremomys,LC,Omnivore,271485.287102305
1094,Dremomys rufigenis,200.32,RODENTIA,SCIURIDAE,Dremomys,LC,Omnivore,856885.222785993
1095,Dromiciops gliroides,25.0,MICROBIOTHERIA,MICROBIOTHERIIDAE,Dromiciops,NT,Carnivore,43838.454664732
1096,Dryomys laniger,25.91,RODENTIA,GLIRIDAE,Dryomys,DD,Omnivore,33348.5387270997
1097,Dryomys niethammeri,27.705,RODENTIA,GLIRIDAE,Dryomys,VU,Omnivore,28.9523286289062
1098,Dryomys nitedula,29.5,RODENTIA,GLIRIDAE,Dryomys,LC,Omnivore,1224032.28060312
1099,Dyacopterus brooksi,81.1,CHIROPTERA,PTEROPODIDAE,Dyacopterus,VU,Herbivore,68419.3024588853
1100,Dyacopterus spadiceus,81.1,CHIROPTERA,PTEROPODIDAE,Dyacopterus,NT,Herbivore,232500.375632596
1101,Dymecodon pilirostris,15.46,EULIPOTYPHLA,TALPIDAE,Dymecodon,LC,Carnivore,27242.4682559406
1102,Echimys chrysurus,609.99,RODENTIA,ECHIMYIDAE,Echimys,LC,Herbivore,1021592.55959777
1103,Echimys saturnus,626.89,RODENTIA,ECHIMYIDAE,Echimys,DD,Herbivore,95974.9025338597
1104,Echimys vieirai,618.44,RODENTIA,ECHIMYIDAE,Echimys,DD,Herbivore,57929.386521253
1105,Echinops telfairi,152.25,AFROSORICIDA,TENRECIDAE,Echinops,LC,Carnivore,102080.973005019
1106,Echinosorex gymnura,756.53,EULIPOTYPHLA,ERINACEIDAE,Echinosorex,LC,Omnivore,842794.290929473
1107,Echiothrix centrosa,265.0,RODENTIA,MURIDAE,Echiothrix,VU,Carnivore,3914.1477379225
1108,Echiothrix leucura,265.0,RODENTIA,MURIDAE,Echiothrix,EN,Carnivore,626.2636380676
1109,Echymipera clara,1204.61,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,LC,Herbivore,116798.168499607
1110,Echymipera davidi,817.05,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,EN,Omnivore,156.5659095169
1111,Echymipera echinista,1204.61,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,DD,Carnivore,313.1318190338
1112,Echymipera kalubu,825.16,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,LC,Omnivore,616399.985768035
1113,Echymipera rufescens,1051.48,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,LC,Omnivore,566925.158360695
1114,Ectophylla alba,5.55,CHIROPTERA,PHYLLOSTOMIDAE,Ectophylla,NT,Herbivore,27555.6000749744
1115,Eidolon dupreanum,297.58,CHIROPTERA,PTEROPODIDAE,Eidolon,VU,Herbivore,49944.5251358911
1116,Eidolon helvum,254.61,CHIROPTERA,PTEROPODIDAE,Eidolon,NT,Herbivore,8687685.75318326
1117,Eira barbara,4134.99,CARNIVORA,MUSTELIDAE,Eira,LC,Omnivore,9792571.37664402
1118,Elephantulus brachyrhynchus,45.11,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,1465456.91307818
1119,Elephantulus edwardii,49.69,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,15969.7227707238
1120,Elephantulus fuscipes,57.0,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,DD,Omnivore,57146.5569736685
1121,Elephantulus fuscus,50.45666667,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,DD,Omnivore,80318.3115821697
1122,Elephantulus intufi,48.9,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,1086097.71431874
1123,Elephantulus myurus,59.51,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,459834.076251135
1124,Elephantulus pilicaudus,50.45666667,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,DD,Omnivore,1565.659095169
1125,Elephantulus rozeti,43.07,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,237197.352918103
1126,Elephantulus rufescens,52.78,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,831208.413625222
1127,Elephantulus rupestris,65.56,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,LC,Omnivore,98166.8252670963
1128,Eligmodontia moreni,18.0,RODENTIA,CRICETIDAE,Eligmodontia,LC,Omnivore,1565.659095169
1129,Eligmodontia morgani,16.5,RODENTIA,CRICETIDAE,Eligmodontia,LC,Omnivore,52293.0137786446
1130,Eligmodontia puerulus,28.49,RODENTIA,CRICETIDAE,Eligmodontia,LC,Omnivore,159227.529978687
1131,Eligmodontia typus,17.37,RODENTIA,CRICETIDAE,Eligmodontia,LC,Omnivore,759344.661156965
1132,Eliomys melanurus,100.36,RODENTIA,GLIRIDAE,Eliomys,LC,Omnivore,20197.0023276801
1133,Eliomys munbyanus,3.365900551,RODENTIA,GLIRIDAE,Eliomys,LC,Omnivore,139656.791289075
1134,Eliomys quercinus,114.61,RODENTIA,GLIRIDAE,Eliomys,NT,Omnivore,957870.234424394
1135,Eliurus antsingy,81.67625,RODENTIA,NESOMYIDAE,Eliurus,DD,Omnivore,626.2636380676
1136,Eliurus danieli,81.67625,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,1252.5272761352
1137,Eliurus ellermani,100.0,RODENTIA,NESOMYIDAE,Eliurus,DD,Omnivore,19.8138782519531
1138,Eliurus grandidieri,81.67625,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,29590.9568986941
1139,Eliurus majori,100.0,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,13464.6682184534
1140,Eliurus minor,57.53,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,46813.2069455531
1141,Eliurus myoxinus,69.76,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,41333.4001124616
1142,Eliurus penicillatus,100.0,RODENTIA,NESOMYIDAE,Eliurus,EN,Omnivore,1409.0931856521
1143,Eliurus petteri,75.0,RODENTIA,NESOMYIDAE,Eliurus,EN,Omnivore,939.3954571014
1144,Eliurus tanala,89.99,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,47439.4705836207
1145,Eliurus webbi,61.13,RODENTIA,NESOMYIDAE,Eliurus,LC,Omnivore,49787.9592263742
1146,Ellobius alaicus,74.32825,RODENTIA,CRICETIDAE,Ellobius,DD,Herbivore,2505.0545522704
1147,Ellobius fuscocapillus,80.0,RODENTIA,CRICETIDAE,Ellobius,LC,Herbivore,83136.4979534739
1148,Ellobius lutescens,117.313,RODENTIA,CRICETIDAE,Ellobius,LC,Herbivore,76717.295663281
1149,Ellobius talpinus,40.0,RODENTIA,CRICETIDAE,Ellobius,LC,Herbivore,123843.634427868
1150,Ellobius tancrei,60.0,RODENTIA,CRICETIDAE,Ellobius,LC,Herbivore,292308.553068052
1151,Emballonura alecto,5.25,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,527470.549162436
1152,Emballonura beccarii,4.31,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,71237.4888301895
1153,Emballonura dianae,5.226666667,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,76873.8615727979
1154,Emballonura furax,5.226666667,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,12838.4045803858
1155,Emballonura monticola,5.35,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,364328.871445826
1156,Emballonura raffrayana,5.61,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,177232.609573131
1157,Emballonura semicaudata,6.29,CHIROPTERA,EMBALLONURIDAE,Emballonura,EN,Carnivore,782.8295475845
1158,Emballonura serii,5.226666667,CHIROPTERA,EMBALLONURIDAE,Emballonura,LC,Carnivore,4540.4113759901
1159,Enchisthenes hartii,16.99,CHIROPTERA,PHYLLOSTOMIDAE,Enchisthenes,LC,Herbivore,1241567.66246902
1160,Eoglaucomys fimbriatus,510.0,RODENTIA,SCIURIDAE,Eoglaucomys,LC,Herbivore,23171.7546085012
1161,Eolagurus luteus,26.0,RODENTIA,CRICETIDAE,Eolagurus,LC,Herbivore,156.5659095169
1162,Eolagurus przewalskii,46.25861204,RODENTIA,CRICETIDAE,Eolagurus,LC,Herbivore,782.8295475845
1163,Eonycteris major,70.7,CHIROPTERA,PTEROPODIDAE,Eonycteris,DD,Herbivore,732885.022448609
1164,Eonycteris robusta,78.36,CHIROPTERA,PTEROPODIDAE,Eonycteris,NT,Herbivore,16439.4204992745
1165,Eonycteris spelaea,58.7,CHIROPTERA,PTEROPODIDAE,Eonycteris,LC,Herbivore,2247503.6311151
1166,Eospalax fontanierii,256.76,RODENTIA,SPALACIDAE,Eospalax,LC,Herbivore,327066.184980804
1167,Eospalax rothschildi,104.345,RODENTIA,SPALACIDAE,Eospalax,LC,Herbivore,128853.743532409
1168,Eospalax smithii,94.15,RODENTIA,SPALACIDAE,Eospalax,LC,Herbivore,52293.0137786446
1169,Eothenomys cachinus,46.25861204,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,10333.3500281154
1170,Eothenomys chinensis,45.3,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,3444.4500093718
1171,Eothenomys custos,30.8,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,62939.4956257938
1172,Eothenomys melanogaster,19.59,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,770773.972551699
1173,Eothenomys miletus,46.25861204,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,22075.7932418829
1174,Eothenomys olitor,22.0,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,51666.750140577
1175,Eothenomys proditor,42.5,RODENTIA,CRICETIDAE,Eothenomys,LC,Omnivore,313.1318190338
1176,Eothenomys wardi,46.25861204,RODENTIA,CRICETIDAE,Eothenomys,NT,Omnivore,6106.0704711591
1177,Eozapus setchuanus,32.576,RODENTIA,DIPODIDAE,Eozapus,LC,Herbivore,161419.452711924
1178,Episoriculus caudatus,6.27,EULIPOTYPHLA,SORICIDAE,Episoriculus,LC,Carnivore,72176.8842872909
1179,Episoriculus fumidus,6.95,EULIPOTYPHLA,SORICIDAE,Episoriculus,LC,Carnivore,13151.5363994196
1180,Episoriculus leucops,9.35,EULIPOTYPHLA,SORICIDAE,Episoriculus,LC,Carnivore,59964.7433449727
1181,Episoriculus macrurus,8.157340556,EULIPOTYPHLA,SORICIDAE,Episoriculus,LC,Carnivore,84858.7229581598
1182,Epixerus ebii,520.96,RODENTIA,SCIURIDAE,Epixerus,LC,Omnivore,186626.564144145
1183,Epomophorus angolensis,88.458,CHIROPTERA,PTEROPODIDAE,Epomophorus,NT,Herbivore,169404.314097286
1184,Epomophorus anselli,88.458,CHIROPTERA,PTEROPODIDAE,Epomophorus,DD,Herbivore,3287.8840998549
1185,Epomophorus crypturus,95.04,CHIROPTERA,PTEROPODIDAE,Epomophorus,LC,Herbivore,831051.847715705
1186,Epomophorus gambianus,134.59,CHIROPTERA,PTEROPODIDAE,Epomophorus,LC,Herbivore,2765893.35752555
1187,Epomophorus grandis,49.42,CHIROPTERA,PTEROPODIDAE,Epomophorus,DD,Herbivore,626.2636380676
1188,Epomophorus labiatus,69.65,CHIROPTERA,PTEROPODIDAE,Epomophorus,LC,Herbivore,1071850.2165527
1189,Epomophorus minimus,88.458,CHIROPTERA,PTEROPODIDAE,Epomophorus,LC,Herbivore,134959.814003568
1190,Epomophorus wahlbergi,93.59,CHIROPTERA,PTEROPODIDAE,Epomophorus,LC,Herbivore,3601329.05070773
1191,Epomops buettikoferi,135.67,CHIROPTERA,PTEROPODIDAE,Epomops,LC,Herbivore,621096.963053542
1192,Epomops dobsonii,122.08,CHIROPTERA,PTEROPODIDAE,Epomops,LC,Herbivore,189914.448244
1193,Epomops franqueti,118.99,CHIROPTERA,PTEROPODIDAE,Epomops,LC,Herbivore,3624344.23940672
1194,Eptesicus bobrinskoi,7.54,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,31939.4455414476
1195,Eptesicus bottae,15.66,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,1022688.52096439
1196,Eptesicus brasiliensis,9.2,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,5181861.90728084
1197,Eptesicus chiriquinus,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,117267.866228158
1198,Eptesicus diminutus,5.99,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,322056.075876263
1199,Eptesicus dimissus,13.03,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,DD,Carnivore,4070.7136474394
1200,Eptesicus floweri,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,687480.908688708
1201,Eptesicus furinalis,7.7,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,4534618.43733797
1202,Eptesicus fuscus,17.49,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,3706697.90781261
1203,Eptesicus gobiensis,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,1730366.43198078
1204,Eptesicus guadeloupensis,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,EN,Carnivore,313.1318190338
1205,Eptesicus hottentotus,30.33,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,1705629.01827711
1206,Eptesicus innoxius,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,NT,Carnivore,28651.5614415927
1207,Eptesicus japonensis,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,EN,Carnivore,1095.9613666183
1208,Eptesicus nilssonii,10.72,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,2477498.95219543
1209,Eptesicus pachyotis,8.1,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,11429.3113947337
1210,Eptesicus platyops,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,DD,Carnivore,156.5659095169
1211,Eptesicus serotinus,23.09,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,LC,Carnivore,8652458.42354196
1212,Eptesicus tatei,12.56384615,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,DD,Carnivore,939.3954571014
1213,Equus zebra,282462.1,PERISSODACTYLA,EQUIDAE,Equus,VU,Herbivore,158131.568612069
1214,Eremitalpa granti,22.04,AFROSORICIDA,CHRYSOCHLORIDAE,Eremitalpa,LC,Carnivore,11116.1795756999
1215,Eremodipus lichtensteini,51.0,RODENTIA,DIPODIDAE,Eremodipus,LC,Herbivore,272581.248468923
1216,Eremoryzomys polius,60.64641072,RODENTIA,CRICETIDAE,Eremoryzomys,DD,Omnivore,11742.4432137675
1217,Erethizon dorsatum,7419.46,RODENTIA,ERETHIZONTIDAE,Erethizon,LC,Herbivore,3539955.21417711
1218,Erinaceus amurensis,780.0,EULIPOTYPHLA,ERINACEIDAE,Erinaceus,LC,Carnivore,1208219.12374192
1219,Erinaceus concolor,665.99,EULIPOTYPHLA,ERINACEIDAE,Erinaceus,LC,Carnivore,819935.668140005
1220,Erinaceus europaeus,777.95,EULIPOTYPHLA,ERINACEIDAE,Erinaceus,LC,Carnivore,2803782.30762864
1221,Erinaceus roumanicus,772.0,EULIPOTYPHLA,ERINACEIDAE,Erinaceus,LC,Carnivore,4086057.10657206
1222,Eropeplus canus,50.0,RODENTIA,MURIDAE,Eropeplus,VU,Omnivore,11116.1795756999
1223,Erophylla bombifrons,16.28,CHIROPTERA,PHYLLOSTOMIDAE,Erophylla,LC,Omnivore,82979.932043957
1224,Erophylla sezekorni,15.87,CHIROPTERA,PHYLLOSTOMIDAE,Erophylla,LC,Omnivore,122121.409423182
1225,Erythrocebus patas,7966.3,PRIMATES,CERCOPITHECIDAE,Erythrocebus,LC,Herbivore,5483877.54673894
1226,Euchoreutes naso,24.14,RODENTIA,DIPODIDAE,Euchoreutes,LC,Carnivore,9550.5204805309
1227,Euderma maculatum,16.17,CHIROPTERA,VESPERTILIONIDAE,Euderma,LC,Carnivore,114919.377585405
1228,Eudiscopus denticulus,10.17892383,CHIROPTERA,VESPERTILIONIDAE,Eudiscopus,LC,Carnivore,3287.8840998549
1229,Eulemur albifrons,2300.0,PRIMATES,LEMURIDAE,Eulemur,EN,Herbivore,12994.9704899027
