,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
56,Aethomys kaiseri,89.99,RODENTIA,MURIDAE,Aethomys,LC,Herbivore,1125865.45533603
57,Aethomys nyikae,77.015,RODENTIA,MURIDAE,Aethomys,LC,Herbivore,201500.32554825
58,Aethomys silindensis,83.48586401,RODENTIA,MURIDAE,Aethomys,DD,Herbivore,156.5659095169
59,Aethomys stannarius,83.48586401,RODENTIA,MURIDAE,Aethomys,DD,Herbivore,56363.727426084
60,Aethomys thomasi,63.85388804,RODENTIA,MURIDAE,Aethomys,LC,Herbivore,3914.1477379225
61,Ailurops melanotis,8500.0,DIPROTODONTIA,PHALANGERIDAE,Ailurops,CR,Herbivore,156.5659095169
62,Ailurops ursinus,10000.0,DIPROTODONTIA,PHALANGERIDAE,Ailurops,VU,Herbivore,147328.520855403
63,Ailurus fulgens,5170.08,CARNIVORA,AILURIDAE,Ailurus,EN,Herbivore,20197.0023276801
64,Akodon aerosus,59.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,95348.6388957921
65,Akodon affinis,24.89,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,26303.0727988392
66,Akodon albiventer,25.95,RODENTIA,CRICETIDAE,Akodon,LC,Carnivore,135272.945822602
67,Akodon azarae,25.27,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,75777.9002061796
68,Akodon boliviensis,27.5,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,160166.925435789
69,Akodon budini,26.9,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,2191.9227332366
70,Akodon cursor,39.84,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,114919.377585405
71,Akodon dayi,32.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,92217.3207054541
72,Akodon dolores,50.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,16595.9864087914
73,Akodon fumeus,22.69,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,71550.6206492233
74,Akodon iniscatus,28.7,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,63409.1933543445
75,Akodon juninensis,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,73742.5433824599
76,Akodon kofordi,29.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,12838.4045803858
77,Akodon lindberghi,26.4,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore,164863.902721296
78,Akodon lutescens,20.69,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,80944.5752202373
79,Akodon mimus,23.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,22858.6227894674
80,Akodon molinae,32.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,301232.809910516
81,Akodon mollis,30.39,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,14717.1954945886
82,Akodon montensis,34.65,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,363546.041898242
83,Akodon mystax,32.51675676,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore,156.5659095169
84,Akodon orophilus,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,24424.2818846364
85,Akodon paranaensis,32.51675676,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,1409.0931856521
86,Akodon pervalens,32.51675676,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore,31469.7478128969
87,Akodon philipmyersi,23.0,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore,6106.0704711591
88,Akodon reigi,32.51675676,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,5010.1091045408
89,Akodon sanctipaulensis,27.1,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore,23328.3205180181
90,Akodon serrensis,28.3,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,6419.2022901929
91,Akodon siberiae,34.6,RODENTIA,CRICETIDAE,Akodon,NT,Omnivore,10176.7841185985
92,Akodon simulator,42.5,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,17222.250046859
93,Akodon spegazzinii,28.6,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,19257.6068705787
94,Akodon subfuscus,30.39,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,137151.736736804
95,Akodon surdus,38.99,RODENTIA,CRICETIDAE,Akodon,VU,Omnivore,6262.636380676
96,Akodon sylvanus,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,5010.1091045408
97,Akodon toba,51.2,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,1095.9613666183
98,Akodon torques,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore,56676.8592451178
99,Akodon varius,40.0,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore,23954.5841560857
100,Alionycteris paucidentata,16.24,CHIROPTERA,PTEROPODIDAE,Alionycteris,LC,Herbivore,3287.8840998549
101,Allactaga balikunica,72.5,RODENTIA,DIPODIDAE,Allactaga,LC,Omnivore,313.1318190338
102,Allactaga bullata,72.5,RODENTIA,DIPODIDAE,Allactaga,LC,Omnivore,59338.4797069051
103,Allactaga elater,59.0,RODENTIA,DIPODIDAE,Allactaga,LC,Omnivore,825258.90906358
104,Allactaga euphratica,232.0,RODENTIA,DIPODIDAE,Allactaga,NT,Herbivore,182399.284587188
105,Allactaga firouzi,114.1964539,RODENTIA,DIPODIDAE,Allactaga,DD,Herbivore,1409.0931856521
106,Allactaga hotsoni,76.5,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore,412707.737486548
107,Allactaga major,350.0,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore,446212.842123165
108,Allactaga severtzovi,159.0,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore,256924.657517233
109,Allactaga sibirica,97.5,RODENTIA,DIPODIDAE,Allactaga,LC,Carnivore,298101.491720178
110,Allactaga tetradactyla,52.0,RODENTIA,DIPODIDAE,Allactaga,DD,Herbivore,103176.934371637
111,Allactaga vinogradovi,61.83099239,RODENTIA,DIPODIDAE,Allactaga,NT,Herbivore,156.5659095169
112,Allactaga williamsi,23.33,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore,95974.9025338597
113,Allactodipus bobrinskii,65.0,RODENTIA,DIPODIDAE,Allactodipus,LC,Omnivore,107091.08210956
