binomial,gen_length_d
Mesembriomys gouldii,712.22605
Mesocapromys auritus,2954.623511
Microcebus berthae,2053.5145
Microtus abbreviatus,373.6238021
Microtus breweri,373.6238021
Microtus tatricus,373.6238021
Mirza zaza,1825
Muntiacus crinifrons,2190
Mustela felipei,1939.368333
Myotis grisescens,3469.92725
Myotis planiceps,2106.628504
Myrmecobius fasciatus,886.2761
Myzopoda aurita,2070.531028
Myzopoda schliemanni,2070.531028
Nanger dama,2171.91595
Nanger soemmerringii,2555
Neofelis diardi,2664.41
Neotragus batesi,1741.05
Neotragus pygmaeus,1560.5875
Nesotragus moschatus,1778.035983
Nilgiritragus hylocrius,2302.780267
Nomascus concolor,5475
Nomascus hainanus,5475
Nomascus nasutus,5475
Notomys aquilo,688.06545
Notomys cervinus,688.06545
Notoryctes typhlops,998.6765636
Nyctalus azoreum,1825
Ochotona iliensis,751.47417
Okapia johnstoni,4764.235717
Onychogalea fraenata,834.8625
Oreamnos americanus,2864.106333
Oreotragus oreotragus,2700.0653
Ornithorhynchus anatinus,2878.755
Oryx beisa,2555
Oryx gazella,2866.554367
Oryx leucoryx,2663.526667
Otocolobus manul,2036.1475
Ourebia ourebi,2156.849633
Ovibos moschatus,3567.388333
Ovis ammon,2920
Ovis canadensis,2634.501667
Ovis dalli,2338.92
Ovis nivicola,2631.140556
Ozotoceros bezoarticus,2846.6847
Pan troglodytes,7300
Panthera leo,2190
Panthera onca,3581.681317
Panthera tigris,2920
Panthera uncia,2920
Pantholops hodgsonii,2190
Parantechinus apicalis,753.931
Pelea capreolus,1787.9305
Pentalagus furnessi,1104.3199
Perameles bougainville,726.0055
Perameles gunnii,706.1569
Peromyscus mekisturus,635.2804944
Petauroides volans,2106.05
Petaurus australis,2158.975
Petrogale concinna,1880.16
Petrogale godmani,1866.5067
Petrogale lateralis,1866.5067
Petrogale mareeba,1866.5067
Petrogale penicillata,1965.66275
Petrogale purpureicollis,1866.5067
Petrogale sharmani,1866.5067
Phalanger matanim,2000.363913
Phascogale tapoatafa,878.35415
Phascolarctos cinereus,2746.4425
Philantomba maxwellii,2287.576667
Phyllonycteris aphylla,2064.27635
Piliocolobus gordonorum,
Pipistrellus maderensis,1885.946275
Poiana leightoni,1095
Pongo abelii,9125
Pongo pygmaeus,7300
Porcula salvania,1589.266667
Potorous gilbertii,1840.71085
Potorous longipes,1995.4701
Potorous tridactylus,1685.9516
Presbytis chrysomelas,3650
Presbytis potenziani,4745
Prionailurus planiceps,2190
Procapra gutturosa,1793.275567
Procapra picticaudata,2268.94875
Procapra przewalskii,2667.1385
Procyon pygmaeus,1604.369167
Propithecus coquereli,3650
Propithecus perrieri,3597.596429
Propithecus tattersalli,3283.175
