,Unnamed: 0,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2,gen_length_d
58,58,Capreolus pygargus,41371.03,LC,1000000,Herbivore,CETARTIODACTYLA,4274249.32981137,3063.8029
59,59,Capricornis crispus,43030.64,LC,150000,Herbivore,CETARTIODACTYLA,150616.404955258,3135.631967
60,60,Caprolagus hispidus,2496.99,EN,219,Herbivore,LAGOMORPHA,113197.152580719,1104.3199
61,61,Cavia intermedia,566.7175,CR,57,Herbivore,RODENTIA,0.293731834960937,763.4281
62,62,Cephalophus adersi,9249.95,VU,20000,Herbivore,CETARTIODACTYLA,782.8295475845,703.088
63,63,Cephalophus callipygus,19079.23,LC,382000,Omnivore,CETARTIODACTYLA,213086.202852501,1936.42625
64,64,Cephalophus dorsalis,20000,NT,725000,Omnivore,CETARTIODACTYLA,1109582.60074627,2362.6281
65,65,Cephalophus jentinki,68489.54,EN,3000,Omnivore,CETARTIODACTYLA,41959.6637505292,1825
66,66,Cephalophus leucogaster,13208.69,NT,287000,Omnivore,CETARTIODACTYLA,497566.460444708,836.8205
67,67,Cephalophus natalensis,12724.51,LC,42000,Omnivore,CETARTIODACTYLA,270389.325735686,1890.876667
68,68,Cephalophus niger,19094.32,LC,100000,Omnivore,CETARTIODACTYLA,221540.761966413,1571.426333
69,69,Cephalophus nigrifrons,14676.33,LC,300000,Omnivore,CETARTIODACTYLA,1372456.76282515,2407.975
70,70,Cephalophus ogilbyi,18386.42,LC,35000,Omnivore,CETARTIODACTYLA,154530.55269318,1965.47
71,71,Cephalophus rufilatus,12114.57,LC,170000,Omnivore,CETARTIODACTYLA,2206639.92873119,1770.8773
72,72,Cephalophus silvicultor,62006.6,NT,160000,Omnivore,CETARTIODACTYLA,3320762.94085345,2275.945333
73,73,Cephalophus spadix,56857.02,EN,2250,Herbivore,CETARTIODACTYLA,2974.7522808211,962.787
74,74,Cephalophus weynsi,17000,LC,188000,Omnivore,CETARTIODACTYLA,849996.32276725,2066.138333
75,75,Cephalophus zebra,15654.75,VU,15000,Omnivore,CETARTIODACTYLA,45404.113759901,1825
76,76,Ceratotherium simum,2285939,NT,20170,Herbivore,PERISSODACTYLA,2396554.37697519,6865.345833
77,77,Cercopithecus dryas,2784.06,CR,200,Herbivore,PRIMATES,3287.8840998549,3875.131454
78,78,Cervus albirostris,109666.7,VU,7000,Herbivore,CETARTIODACTYLA,122434.541242216,5209.4516
79,79,Cervus canadensis,240867.1,LC,1300000,Herbivore,CETARTIODACTYLA,2643771.94810237,5209.4516
80,80,Cervus elaphus,240867.1,LC,2435500,Herbivore,CETARTIODACTYLA,1592275.29978687,5209.4516
81,81,Cervus hanglu,240867.1,LC,2700,Herbivore,CETARTIODACTYLA,46500.0751265193,5209.4516
