,binomial,common_name
1,Hipposideros abae,Aba Roundleaf Bat
2,Hylobates abbotti,Abbott's Gray Gibbon
3,Microtus abbreviatus,Insular Vole
4,Pongo abelii,Sumatran Orangutan
5,Sciurus aberti,Abert's Squirrel
6,Petaurus abidi,Northern Glider
7,Apomys abrae,"Luzon Cordillera Apomys, Luzon Cordillera Forest Mouse"
8,Pipistrellus abramus,"Japanese Pipistrelle, Japanese Pipistrelle"
9,Cynomops abrasus,Cinnamon Dog-faced Bat
10,Prosciurillus abstrusus,Secretive Dwarf Squirrel
11,Genetta abyssinica,"Ethiopian Genet, Abyssinian Genet"
12,Arvicanthis abyssinicus,"Abyssinian Grass Rat, Ethiopian Arvicanthis"
13,Mico acariensis,Rio Acar Marmoset
14,Gracilinanus aceramarcae,"Aceramarca Gracile Mouse Opossum, Bolivian Gracile Opossum"
15,Mormopterus acetabulosus,Mauritian Free-tailed Bat
16,Taphozous achates,Indonesian Tomb Bat
17,Myoprocta acouchy,Red Acouchi
18,Hylaeamys acritus,NA
19,Kerodon acrobata,NA
20,Mirimiri acrodonta,Fijian Monkey-faced Bat
21,Gerbillus acticola,Berbera Gerbil
22,Tachyglossus aculeatus,"Short-beaked Echidna, Kangaroo Island Echidna"
23,Rhinolophus acuminatus,"Accuminate Horseshoe Bat, Acuminate Horseshoe Bat"
24,Balaenoptera acutorostrata,"Common Minke Whale, Dwarf Minke Whale, Lesser Rorqual, Little Piked Whale, Minke Whale"
25,Lagenorhynchus acutus,Atlantic White-sided Dolphin
26,Rhinolophus adami,Adam's Horseshoe Bat
27,Pipistrellus adamsi,"Forest Pipistrelle, Adams's Pipistrelle, Cape York Pipistrelle"
28,Callosciurus adamsi,Ear-spot Squirrel
29,Cephalophus adersi,Aders' Duiker
30,Pteropus admiralitatum,"Admiralty Flying Fox, Admiralty Flying-fox"
31,Notocitellus adocetus,"Lesser Tropical Ground Squirel, Tropical Ground Squirrel"
32,Heteromys adspersus,Panamanian Spiny Pocket Mouse
33,Tursiops aduncus,"Indo-Pacific Bottlenose Dolphin, Indian Ocean Bottlenose Dolphin"
34,Monodelphis adusta,Sepia Short-tailed Opossum
35,Canis adustus,Side-striped Jackal
36,Tryphomys adustus,"Luzon Tryphomys, Luzon Short-nosed Rat"
37,Rattus adustus,"Burnished Enggano Rat, Sunburned Rat"
38,Antechinus adustus,"Rusty Antechinus, Rusty Marsupial Mouse, Tropical Antechinus"
39,Myotis adversus,"Large-footed Myotis, Grey Large-footed Bat, Large-footed Bat, Large-footed Mouse-eared Bat"
40,Plagiodontia aedium,"Cuvier's Hutia, Hispaniolan Hutia, Hispanolan Hutia"
41,Lepilemur aeeclis,Antafia Sportive Lemur
42,Capra aegagrus,"Wild Goat, Bezoar"
43,Tadarida aegyptiaca,"Egyptian Free-tailed Bat, Egyptian Guano Bat, Egyptian Nyctinome"
44,Rousettus aegyptiacus,"Egyptian Fruit Bat, Egyptian Rousette"
45,Myotis aelleni,Southern Myotis
46,Miniopterus aelleni,Aellen's Long-fingered Bat
47,Nyctimene aello,"Greater Tube-nosed Bat, Broad-striped Tube-nosed Fruit Bat"
48,Murina aenea,Bronze Tube-nosed Bat
49,Rhogeessa aeneus,Yucatan Yellow Bat
50,Laonastes aenigmamus,Kha-nyou
51,Nycticeius aenobarbus,Temminck's Mysterious Bat
52,Aethalops aequalis,Borneo Fruit Bat
53,Pithecia aequatorialis,Equatorial Saki
54,Cebus aequatorialis,"Ecuadorian White-fronted Capuchin, Ecuadorian Capuchin"
55,Molossops aequatorianus,Equatorial Dog-faced Bat
56,Suncus aequatorius,NA
57,Pipistrellus aero,"Mount Gargues Pipistrelle, Mt. Gargues Pipistrelle"
58,Phoniscus aerosa,Dubious Trumpet-eared Bat
59,Melomys aerosus,"Dusky Seram Melomys, Dusky Mosaic-tailed Rat"
60,Akodon aerosus,"Highland Grass Mouse, Yungas Akodont"
61,Sciurus aestuans,Guianan Squirrel
62,Hylomyscus aeta,"Beaded Hylomyscus, Beaded Wood Mouse"
63,Phacochoerus aethiopicus,"Desert Warthog, Cape Warthog, Somali Warthog"
64,Paraechinus aethiopicus,Desert Hedgehog
65,Chlorocebus aethiops,"Grivet Monkey, Green Monkey, Grivet, Malbrouk Monkey, Tantalus, Vervet Monkey"
66,Orycteropus afer,"Aardvark, Antbear"
67,Triaenops afer,African Trident Bat
68,Ratufa affinis,"Pale Giant Squirrel, Cream-coloured Giant Squirrel"
69,Akodon affinis,"Colombian Grass Mouse, Cordillera Occidental Akodont"
70,Falsistrellus affinis,"Chocolate Pipistrelle, Grizzled Pipistrelle"
71,Rhinolophus affinis,Intermediate Horseshoe Bat
72,Blanfordimys afghanus,Afghan Vole
73,Coleura afra,African Sheath-tailed Bat
74,Gerbilliscus afra,Cape Gerbil
75,Hystrix africaeaustralis,Cape Porcupine
76,Loxodonta africana,African savanna Elephant
77,Mustela africana,"Amazon Weasel, Tropical Weasel"
78,Kerivoula africana,Tanzanian Woolly Bat
79,Equus africanus,"African Wild Ass, African Ass, Ass"
80,Phacochoerus africanus,"Common Warthog, Eritrean Warthog, Warthog"
81,Atherurus africanus,African Brush-tailed Porcupine
82,Miniopterus africanus,African Long-fingered Bat
83,Gerbillus agag,Agag Gerbil
84,Hylobates agilis,"Agile Gibbon, Dark-handed Gibbon"
85,Dipodomys agilis,Agile Kangaroo Rat
86,Macropus agilis,Agile Wallaby
87,Cercocebus agilis,Agile Mangabey
88,Gracilinanus agilis,"Agile Gracile Opossum, Agile Gracile Mouse Opossum, Agile Mouse Opossum"
89,Antechinus agilis,"Agile Antechinus, Agile Marsupial Mouse, Normanby Antechinus"
90,Kerivoula agnella,"Louisiade Woolly Bat, St. Aignan's Trumpet-eared Bat"
91,Apodemus agrarius,Striped Field Mouse
92,Microtus agrestis,Field Vole
93,Cryptonanus agricolai,Agricola's Gracile Opossum
94,Lepilemur ahmansonorum,Ahmanson's Sportive Lemur
95,Sus ahoenobarbus,Palawan Bearded Pig
96,Lagidium ahuacaense,Ecuadorean Viscacha
97,Acomys airensis,Western Saharan Spiny Mouse
98,Semnopithecus ajax,"Kashmir Gray Langur, Chamba Sacred Langur, Dark-eyed Himalayan Langur, Himalayan Gray Langur, Western Himalayan Langur"
99,Sylvisorex akaibei,Dudu Akaibe's Pygmy Shrew
100,Ellobius alaicus,Alai Mole Vole
101,Hapalemur alaotrensis,"Alaotra Reed Lemur, Alaotran Gentle Lemur, Lac Alaotra Bamboo Lemur, Lake Alaotra Gentle Lemur"
102,Pipistrellus alaschanicus,Alashanian Pipistrelle
103,Spermophilus alashanicus,Alashan Ground Squirrel
104,Sorex alaskanus,Glacier Bay Water Shrew
105,Ectophylla alba,"Honduran White Bat, White Bat"
106,Platyrrhinus albericoi,NA
107,Pseudochirops albertisii,"D'Albertis's Ringtail, D'Albertis Ringtail Possum"
108,Myotis albescens,Silver-tipped Myotis
109,Callosciurus albescens,"Kloss's Squirrel, Kloss Squirrel"
110,Hylobates albibarbis,"Bornean White-bearded Gibbon, Bornean Agile Gibbon"
111,Pithecia albicans,"Buffy Saki, White Saki"
112,Olallamys albicauda,White-tailed Olalla Rat
113,Brachytarsomys albicauda,"White-tailed Tree Rat, White-tailed Antsangy, White-tailed Rat"
114,Ichneumia albicauda,White-tailed Mongoose
115,Mystromys albicaudatus,"White-tailed Mouse, White-tailed Rat"
116,Alticola albicaudus,White-tailed Mountain Vole
117,Brassomys albidens,"White-toothed Mouse, White-toothed Brush Mouse, White-toothed Coccymys, White-toothed Melomys"
118,Eulemur albifrons,"White-fronted Lemur, White-fronted Brown Lemur"
119,Cebus albifrons,"Humboldt's White-fronted Capuchin, White-fronted Capuchin"
120,Lophocebus albigena,"Grey-cheeked Mangabey, Gray-cheeked Mangabey, White-cheeked Mangabey"
121,Neotoma albigula,White-throated Woodrat
122,Nephelomys albigularis,Tomes's Rice Rat
123,Chiropotes albinasus,"White-nosed Saki, Red-nosed Bearded Saki, Red-nosed Saki, White-nosed Bearded Saki"
124,Poecilogale albinucha,African Striped Weasel
125,Arborimus albipes,White-footed Vole
126,Conilurus albipes,"White-footed Rabbit-rat, Rabbit-eared Tree-rat, White-footed Rabbit Rat, White-footed Tree-rat"
127,Stenocephalemys albipes,"Ethiopian White-footed Mouse, White-footed Stenocephalemys"
128,Lagenorhynchus albirostris,White-beaked Dolphin
129,Cervus albirostris,"White-lipped Deer, Thorold's Deer"
130,Trinomys albispinus,White-spined Spiny Rat
131,Akodon albiventer,"White-bellied Grass Mouse, White-bellied Akodont"
132,Nyctimene albiventer,"Common Tube-nosed Fruit Bat, Common Tube-nosed Bat"
133,Didelphis albiventris,White-eared Opossum
134,Noctilio albiventris,Lesser Bulldog Bat
135,Atelerix albiventris,Four-toed Hedgehog
136,Stenocephalemys albocaudata,Ethiopian Narrow-headed Rat
137,Pseudomys albocinereus,Ash-grey Mouse
138,Scotoecus albofuscus,"Light-winged Lesser House Bat, Thomas' House Bat, Thomas's Lesser House Bat"
139,Arctonyx albogularis,"Northern Hog Badger, Northern Hog-Badger"
140,Glauconycteris alboguttata,Allen's Striped Bat
141,Hylopetes alboniger,"African Linsang, Particolored Flying Squirrel"
142,Eudorcas albonotata,Mongalla Gazelle
143,Dasyurus albopunctatus,"New Guinea Quoll, New Guinean Quoll"
144,Petaurista alborufus,Red And White Giant Flying Squirrel
145,Diclidurus albus,Northern Ghost Bat
146,Myotis alcathoe,"Alcathoe Whiskered Bat, Alcathoe Myotis"
147,Alces alces,"Moose, Elk, Eurasian Elk, Eurasian Moose, European Elk, Siberian Elk"
148,Rhinolophus alcyone,Halcyon Horseshoe Bat
149,Pteropus aldabrensis,"Aldabra Flying-fox, Aldabra Flying Fox"
150,Pteropus alecto,"Black Flying Fox, Central Flying-fox"
151,Emballonura alecto,"Small Asian Sheath-tailed Bat, Philippine Sheath-tailed Bat"
152,Cyttarops alecto,Short-eared Bat
153,Aethalops alecto,Pygmy Fruit Bat
154,Crocidura aleksandrisi,"Alexandrian Shrew, Cyrenaica Shrew"
155,Rhinophylla alethina,Hairy Little Fruit Bat
156,Phalanger alexandrae,Gebe Cuscus
157,Crossarchus alexandri,Alexander's Cusimanse
158,Paraxerus alexandri,Alexander's Bush Squirrel
159,Notomys alexis,"Spinifex Hopping Mouse, Spinefex Hopping Mouse"
160,Sigmodontomys alfari,"Alfaro's Rice Water Rat, Short-tailed Sigmodontomys"
161,Microsciurus alfari,Central American Dwarf Squirrel
162,Handleyomys alfaroi,Alfaro's Rice Rat
163,Rusa alfredi,"Phillipine Spotted Deer, Prince Alfred's Spotted Deer, Visayan Spotted Deer"
164,Atelerix algirus,"North African Hedgehog, Algerian Hedgehog"
165,Histiotus alienus,Strange Big-eared Brown Bat
166,Neofiber alleni,Round-tailed Muskrat
167,Bassaricyon alleni,Eastern Lowland Olingo
168,Lepus alleni,Antelope Jackrabbit
169,Sciurocheirus alleni,"Allen's Galago, Allen's Bushbaby, Allen's Squirrel Galago"
170,Sigmodon alleni,Allen's Cotton Rat
171,Hodomys alleni,"Allen's Wood Rat, Allen's Woodrat"
172,Sciurus alleni,Allen's Squirrel
173,Rhogeessa alleni,Allen's Yellow Bat
174,Hylomyscus alleni,"Allen's Hylomyscus, Allen's Wood Mouse"
175,Crocidura allex,"East African Highland Shrew, Highlands Shrew"
176,Chaerephon aloysiisabaudiae,"Duke of Abruzzi's Wrinkle-lipped Bat, Abruzzi's Wrinkle-lipped Bat, Duke of Abruzzi's Free-tailed Bat"
177,Apodemus alpicola,Alpine Field Mouse
178,Ochotona alpina,"Alpine Pika, Altai Pika"
179,Cuon alpinus,"Dhole, Asiatic Wild Dog, Indian Wild Dog, Red Dog"
180,Sorex alpinus,Alpine Shrew
181,Neotamias alpinus,Alpine Chipmunk
182,Neotomodon alstoni,Mexican Volcano Mouse
183,Marmosa alstoni,Alston's Woolly Mouse Opossum
184,Sigmodon alstoni,Alston's Cotton Rat
185,Mustela altaica,"Altai Weasel, Mountain Weasel, Pale Weasel"
186,Talpa altaica,Siberian Mole
187,Myotis altarium,"Szechwan Myotis, South-western Mouse-eared Bat"
188,Perognathus alticola,White-eared Pocket Mouse
189,Maxomys alticola,"Bornean Mountain Maxomys, Mountain Spiny Rat"
190,Cricetulus alticola,"Ladakh Hamster, Tibetan Dwarf Hamster"
191,Cryptotis alticola,Central Mexican Broad-clawed Shrew
192,Microryzomys altissimus,"Highland Small Rice Rat, Pramo Colilargo"
193,Molossus alvarezi,NA
194,Oxymycterus amazonicus,NA
195,Kannabateomys amblyonyx,Atlantic Bamboo Rat
196,Miniopterus ambohitrensis,Montagne d'Ambre Long-fingered Bat
197,Martes americana,"American Marten, American Pine Marten"
198,Antilocapra americana,"Pronghorn, American Pronghorn, Mexican Pronghorn"
199,Mazama americana,Red Brocket
200,Monodelphis americana,"Northern Three-striped Opossum, Three-striped Short-tailed Opossum"
201,Ursus americanus,American Black Bear
202,Lepus americanus,"Snowshoe Hare, Snowshoe Rabbit, Varying Hare"
203,Oreamnos americanus,"Mountain Goat, Rocky Mountain Goat"
204,Phyllotis amicus,Friendly Leaf-eared Mouse
205,Ovis ammon,"Argali, Wild Sheep"
206,Chaetodipus ammophilus,NA
207,Necromys amoenus,Pleasant Bolo Mouse
208,Neotamias amoenus,Yellow-pine Chipmunk
209,Gerbillus amoenus,Pleasant Gerbil
210,Hippopotamus amphibius,"Hippopotamus, Common Hippopotamus, Large Hippo"
211,Arvicola amphibius,"European Water Vole, Eurasian Water Vole, Water Vole"
212,Rousettus amplexicaudatus,"Geoffroy's Rousette, Common Rousette"
213,Artibeus amplus,Large Fruit-eating Bat
214,Perognathus amplus,Arizona Pocket Mouse
215,Notomys amplus,Short-tailed Hopping-mouse
216,Hyperoodon ampullatus,"North Atlantic Bottlenose Whale, Bottlehead, Northern Bottlenose Whale"
217,Lemmus amurensis,Amur Lemming
218,Erinaceus amurensis,"Amur Hedgehog, Manchurian Hedgehog"
219,Uromys anak,"Black-tailed Giant Rat, Giant Naked-tailed Rat"
220,Meles anakuma,Japanese Badger
221,Ornithorhynchus anatinus,"Platypus, Duck-billed Platypus"
222,Microtus anatolicus,NA
223,Pteralopex anceps,Bougainville Monkey-faced Bat
224,Pipistrellus anchietae,"Anchieta's Bat, Anchieta's Pipistrelle, Miombo pipistrelle"
225,Plerotes anchietae,"D'Anchieta's Fruit Bat, Anchieta's Fruit Bat"
226,Otomys anchietae,Angolan Vlei Rat
227,Crocidura andamanensis,"Andaman White-toothed Shrew, Andaman Shrew"
228,Rattus andamanensis,"Indochinese Forest Rat, Sikkim Rat"
229,Dermanura anderseni,Andersen's Fruit-eating Bat
230,Dobsonia anderseni,Andersen's Bare-backed Fruit Bat
231,Marmosa andersoni,Anderson's Mouse Opossum
232,Myodes andersoni,"Anderson's Red-backed Vole, Anderson's Red-backed Vole, Japanese Red-backed Vole, Wakayama Red-backed Vole"
233,Niviventer andersoni,"Anderson's Niviventer, Anderson's White-bellied Rat"
234,Uropsilus andersoni,Anderson's Shrew Mole
235,Philander andersoni,"Anderson's Four-eyed Opossum, Black Four-eyed Opossum"
236,Gerbillus andersoni,Anderson's Gerbil
237,Oligoryzomys andinus,Andean Pygmy Rice Rat
238,Eptesicus andinus,Little Black Serotine
239,Abrothrix andinus,"Andean Akodont, Andean Altiplano Mouse, Andean Grass Mouse"
240,Phyllotis andium,Andean Leaf-eared Mouse
241,Scotophilus andrewreborii,Andrew Rebori's House Bat
242,Bunomys andrewsi,"Andrew's Bunomys, Andrew's Hill Rat"
243,Stylodipus andrewsi,"Andrews's Three-toed Jerboa, Mongolian Jerboa"
244,Funisciurus anerythrus,"Redness Tree Squirrel, Thomas's Rope Squirrel"
245,Pteropus anetianus,"Vanauatu Flying Fox, White Flying-fox, White Flying Fox"
246,Tragelaphus angasii,Nyala
247,Mesocapromys angelcabrerai,Cabrera's Hutia
248,Colobus angolensis,"Angolan Colobus, Angola Colobus, Angolan Black-and-white Colobus"
249,Genetta angolensis,"Miombo Genet, Angolan Genet"
250,Lissonycteris angolensis,"Angolan Fruit Bat, Angolan Rousette"
251,Laephotis angolensis,Angolan Long-eared Bat
252,Epomophorus angolensis,Angolan Epauletted Fruit Bat
253,Graphiurus angolensis,Angolan African Dormouse
254,Myomyscus angolensis,"Angolan Multimammate Mouse, Angolan Myomyscus"
255,Otomys angoniensis,Angoni Vlei Rat
256,Sooretamys angouya,NA
257,Oxymycterus angularis,Angular Hocicudo
258,Pipistrellus angulatus,"New Guinea Pipistrelle, Angulate Pipistrelle"
259,Neotoma angustapalata,Tamaulipan Woodrat
260,Spilogale angustifrons,Southern Spotted Skunk
261,Mirounga angustirostris,Northern Elephant Seal
262,Platyrrhinus angustirostris,Slender Broad-nosed Bat
263,Moschus anhuiensis,Anhui Musk Deer
264,Bettongia anhydra,Desert Bettong
265,Phyllotis anitae,NA
266,Myotis anjouanensis,Anjouan Myotis
267,Lepilemur ankaranensis,Ankarana Sportive Lemur
268,Myotis annamiticus,"Annamit Myotis, Annamite water bat"
269,Rattus annandalei,"Annandale's Sundaic Rat, Annandale's Rat"
270,Myotis annectans,"Hairy-faced Bat, Intermediate Bat"
271,Geoxus annectens,NA
272,Notocitellus annulatus,Ring-tailed Ground Squirrel
273,Sciurus anomalus,"Caucasian Squirrel, Persian Squirrel"
274,Neomys anomalus,"Southern Water Shrew, Mediterranean Water Shrew, Miller's Water Shrew"
275,Heteromys anomalus,"Caribbean Spiny Pocket Mouse, Trinidad Spiny Pocket Mouse"
276,Fukomys anselli,"Zambian Mole Rat, Ansell's Mole-rat, Zambian Mole-rat"
277,Hylomyscus anselli,NA
278,Epomophorus anselli,NA
279,Crocidura ansellorum,Ansell's Shrew
280,Crossarchus ansorgei,"Ansorge's Cusimanse, Angolan Cusimanse"
281,Chaerephon ansorgei,"Ansorge's Wrinkle-lipped Bat, Ansorge's Free-tailed Bat"
282,Arvicanthis ansorgei,"Sudanian Arvicanthis, Sudanian Grass Rat"
283,Hypsugo anthonyi,Anthony's Pipistrelle
284,Oryzomys antillarum,Jamaican Rice Rat
285,Macropus antilopinus,"Antilopine Wallaroo, Antilopine Kangaroo, Antilopine Wallaby"
286,Hypogeomys antimena,"Malagasy Giant Jumping Rat, Malagasy Giant Rat"
287,Sorex antinorii,"Valais Shrew, VALAIS SHREW"
288,Saccopteryx antioquensis,Antioquian Sac-winged Bat
289,Hippocamelus antisensis,"Taruca, North Andean Deer, North Andean Huemul, Peruvian Guemal, Peruvian Huemul"
290,Voalavo antsahabensis,Eastern Voalavo
291,Eliurus antsingy,Tsingy Tuft-tailed Rat
292,Papio anubis,"Olive Baboon, Anubis Baboon"
293,Thomasomys apeco,NA
294,Sapajus apella,"Margarita Island Capuchin, Black-capped Capuchin, Guianan Brown Capuchin, Tufted Capuchin"
295,Cavia aperea,Brazilian Guinea Pig
296,Thrichomys apereoides,"Common Punare, Punare, Rabudo"
297,Tanyuromys aphrastus,"Harris's Rice Water Rat, Long-tailed Sigmodontomys"
298,Phyllonycteris aphylla,Jamaican Flower Bat
299,Parantechinus apicalis,"Dibbler, Southern Dibbler"
300,Leporillus apicalis,"Lesser Stick-nest Rat, White-tipped Stick-nest Rat"
301,Nectomys apicalis,NA
302,Lenoxus apicalis,Andean Rat
303,Microperoryctes aplini,Arfak Pygmy Bandicoot
304,Pseudomys apodemoides,Silky Mouse
305,Tarsomys apoensis,"Dusky Tarsomys, Long-footed Rat"
306,Sylvilagus aquaticus,Swamp Rabbit
307,Hyemoschus aquaticus,Water Chevrotain
308,Scapteromys aquaticus,NA
309,Scalopus aquaticus,Eastern Mole
310,Notomys aquilo,Northern Hopping-mouse
311,Platyrrhinus aquilus,Darien Broad-nosed Bat
312,Gerbillus aquilus,Swarthy Gerbil
313,Gazella arabica,Arabian Gazelle
314,Asellia arabica,"Arabian Trident Bat, Yemeni Trident Bat"
315,Crocidura arabica,Arabian Shrew
316,Pipistrellus arabicus,Arabian Pipistrelle
317,Brachyteles arachnoides,"Southern Muriqui, Muriqui, Southern Woolly Spider Monkey, Woolly Spider Monkey"
318,Sorex araneus,"Common Shrew, Eurasian Shrew"
319,Sturnira aratathomasi,Aratathomas's Yellow-shouldered Bat
320,Dendrohyrax arboreus,"Southern Tree Hyrax, Eastern Tree Dassie, Eastern Tree Hyrax, Southern Tree Dassie"
321,Pseudochirops archeri,Green Ringtail Possum
322,Sminthopsis archeri,Chestnut Dunnart
323,Hylomyscus arcimontensis,NA
324,Melomys arcium,Rossel Island Melomys
325,Lepus arcticus,Arctic Hare
326,Sorex arcticus,Arctic Shrew
327,Alouatta arctoidea,"Ursine Howler Monkey, Ursine Howler"
328,Macaca arctoides,"Stump-tailed Macaque, Bear Macaque, Stumptail Macaque"
329,Ursus arctos,"Brown Bear, Grizzly Bear"
330,Rhinolophus arcuatus,Arcuate Horseshoe Bat
331,Taeromys arcuatus,"Southeastern Mountain Taeromys, Salokko Rat"
332,Oligoryzomys arenalis,Sandy Pygmy Rice Rat
333,Geomys arenarius,Desert Pocket Gopher
334,Spalax arenarius,Sandy Mole Rat
335,Chaetodipus arenarius,"Little Desert Pocket Mouse, Sand Pocket Mouse"
336,Taterillus arenarius,"Robbins's Tateril, Sahel Gerbil"
337,Carpitalpa arendsi,Arend's Golden Mole
338,Onychomys arenicola,"Chihuahuan Grasshopper Mouse, Mearns's Grasshopper Mouse"
339,Rattus arfakienis,Vogelkop Mountain Rat
340,Nycteris arge,Bate's Slit-faced Bat
341,Ochotona argentata,"Silver Pika, Helan Shan Pika"
342,Kerivoula argentata,"Damara Woolly Bat, Silvered Woolly Bat, Silver Woolly Bat, Silvery Woolly Bat"
343,Glauconycteris argentata,Silvered Bat
344,Mico argentatus,Silvery Marmoset
345,Alticola argentatus,Silver Mountain Vole
346,Heliophobius argenteocinereus,Silvery Mole Rat
347,Microhydromys argenteus,southern groovetoothed moss-mouse
348,Apodemus argenteus,Small Japanese Field Mouse
349,Ctenomys argentinus,Argentine Tuco-tuco
350,Rattus argentiventer,"Ricefield Rat, Rice-field Rat"
351,Zyzomys argurus,"Common Rock Rat, Silver-tailed Rock Rat"
352,Casinycteris argynnis,"Short-palated Fruit Bat, Golden Short-palated Fruit Bat"
353,Grammomys aridulus,"Arid Thicket Rat, Arid Woodland Grammomys"
354,Pipistrellus ariel,Desert Pipistrelle
355,Meriones arimalius,Arabian Jird
356,Crocidura arispa,Jackass Shrew
357,Sorex arizonae,Arizona Shrew
358,Sigmodon arizonae,"Arizona Cotton Rat, Colorado River Cotton Rat"
359,Sciurus arizonensis,Arizona Gray Squirrel
360,Papagomys armandvillei,"Armandville's Papagomys, Flores Giant Rat, Flores Giant Tree Rat"
361,Urocitellus armatus,Uinta Ground Squirrel
362,Crocidura armenica,Armenian Shrew
363,Sicista armenica,Armenian Birch Mouse
364,Hipposideros armiger,"Great Himalayan Leaf-nosed Bat, Great Leaf-nosed Bat, Great Roundleaf Bat"
365,Bubalus arnee,"Wild Water Buffalo, Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo"
366,Nyctophilus arnhemensis,Northern Long-eared Bat
367,Microcebus arnholdi,"Arnhold's Mouse Lemur, Montagne d'Ambre Mouse Lemur"
368,Berardius arnuxii,"Arnoux's Beaked Whale, Four-toothed Whale, Southern Four-toothed Whale, Southern Giant Bottlenosed Whale"
369,Mallomys aroaensis,De Vis's Woolly Rat
370,Rattus arrogans,Western New Guinea Mountain Rat
371,Chaetodipus artus,Narrow-skulled Pocket Mouse
372,Pteropus aruensis,Aru Flying Fox
373,Redunca arundinum,Southern Reedbuck
374,Microtus arvalis,Common Vole
375,Cercopithecus ascanius,"Red-tailed Monkey, Black-cheeked White-nosed Monkey, Red-tailed Guenon, Redtail Monkey, Schmidt's Guenon"
376,Cuscomys ashaninka,Ashaninika Arboreal Chinchilla Rat
377,Neophocaena asiaeorientalis,"Narrow-ridged Finless Porpoise, Finless Porpoise"
378,Chrysochloris asiatica,Cape Golden Mole
379,Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby, Central Hare Wallaby"
380,Myospalax aspalax,False Zokor
381,Sorex asper,Tien Shan Shrew
382,Parahydromys asper,"Waterside Rat, Coarse-haired Water Rat"
383,Macaca assamensis,"Assam Macaque, Assamese Macaque"
384,Anourosorex assamensis,Assam Mole Shrew
385,Petrogale assimilis,Allied Rock Wallaby
386,Bassariscus astutus,Ringtail
387,Myotis atacamensis,"Atacama Myotis, Atacaman Myotis"
388,Hipposideros ater,"Dusky Leaf-nosed Bat, Bi-coloured Leaf-nosed Bat, Dusky Roundleaf Bat"
389,Myotis ater,"Peters's Myotis, Small Black Myotis"
390,Suncus ater,Black Shrew
391,Lophocebus aterrimus,"Black Mangabey, Black Crested Mangabey"
392,Muntiacus atherodes,Bornean Yellow Muntjac
393,Pteralopex atrata,"Guadalcanal Monkey-faced Bat, Cusp-toothed Flying Fox, Cusp-toothed Fruit Bat, Cusp-toothed Monkey-faced Bat"
394,Paremballonura atrata,"Peter's Sheath-tailed Bat, Peters's Sheath-tailed Bat"
395,Dorcopsis atrata,"Black Dorcopsis, Black Dorcopsis Wallaby, Black Forest-wallaby"
396,Lasiurus atratus,NA
397,Phoniscus atrox,"Groove-toothed Trumpet-eared Bat, Gilded Groove-toothed Bat, Groove-toothed Bat"
398,Chaerephon atsinanana,Madagascar free-tailed bat
399,Zaglossus attenboroughi,"Sir David's Long-beaked Echidna, Attenborough's Echidna, Cyclops Long-beaked Echidna"
400,Stenella attenuata,"Pantropical Spotted Dolphin, Bridled Dolphin, Narrow-snouted Dolphin"
401,Feresa attenuata,"Pygmy Killer Whale, Slender Blackfish"
402,Crocidura attenuata,"Grey Shrew, Indochinese Shrew"
403,Crocidura attila,Hun Shrew
404,Geomys attwateri,Attwater's Pocket Gopher
405,Peromyscus attwateri,"Texas Deermouse, Texas Mouse"
406,Cercocebus atys,Sooty Mangabey
407,Protoxerus aubinnii,Slender-tailed Squirrel
408,Nesomys audeberti,Lowland Red Forest Rat
409,Sylvilagus audubonii,"Desert Cottontail, Audubon's Cottontail"
410,Rhinonicteris aurantia,"Orange Leaf-nosed Bat, Pilbara Leaf-nosed Bat (Pilbara population only)"
411,Platyrrhinus aurarius,Eldorado Broad-nosed Bat
412,Myotis aurascens,Steppe Whiskered Bar
413,Caracal aurata,"African Golden Cat, Golden Cat"
414,Murina aurata,"Little Tube-nosed Bat, Tibetan Tube-nosed Bat"
415,Isoodon auratus,Golden Bandicoot
416,Trachypithecus auratus,"Javan Lutung, Ebony Leaf Monkey, Javan Langur"
417,Mesocricetus auratus,Golden Hamster
418,Otomys auratus,Vlei Rat
419,Callicebus aureipalatii,Madidi Titi Monkey
420,Arielulus aureocollaris,"Collared Sprite, Collared Pipistrelle, Siam Goldnecklet, Thai Golden-throated Bat"
421,Sciurus aureogaster,"Mexican Gray Squirrel, Mexican Grey Squirrel, Red-bellied Squirrel"
422,Podogymnura aureospinula,"Dinagat Gymnure, Dinagat Moonrat"
423,Canis aureus,"Golden Jackal, Asiatic Jackal, Common Jackal"
424,Hapalemur aureus,"Golden Bamboo Lemur, Golden Lemur"
425,Arctocebus aureus,"Golden Angwantibo, Golden Potto"
426,Thomasomys aureus,Golden Oldfield Mouse
427,Tympanoctomys aureus,Golden Vizcacha Rat
428,Desmodillus auricularis,Cape Short-eared Gerbil
429,Myotis auriculus,Southwestern Myotis
430,Eumops auripendulus,"Shaw's Mastiff Bat, Black Bonneted Bat"
431,Nyctinomops aurispinosus,Peale's Free-tailed Bat
432,Callithrix aurita,"Buffy-tufted-ear Marmoset, Buffy Tufted-ear Marmoset, Buffy-tufted Marmoset, White-eared Marmoset"
