,binomial,common_name
4865,Vespertilio sinensis,Asian Particolored Bat
4866,Lepus sinensis,Chinese Hare
4867,Rhizomys sinensis,Chinese Bamboo Rat
4868,Neotetracus sinensis,Shrew Gymnure
4869,Macaca sinica,Toque Macaque
4870,Rhinolophus sinicus,"Chinese Horseshoe Bat, Chinese Rufous Horseshoe Bat, Little Nepalese Horseshoe Bat"
4871,Isothrix sinnamariensis,"Brush-tailed Rat, Sinnamary Brush-tailed Rat"
4872,Phocoena sinus,"Vaquita, Gulf Of California Harbour Porpoise, Gulf Of California Porpoise, Gulf Porpoise"
4873,Iomys sipora,Mentawi Flying Squirrel
4874,Hylopetes sipora,Sipora Flying Squirrel
4875,Leopoldamys siporanus,"Mentawai Archipelago Leopoldamys, Mentawai Long-tailed Giant Rat"
4876,Neotamias siskiyou,Siskiyou Chipmunk
4877,Peromyscus slevini,"Catalina Deer Mouse, Slevin's Mouse, Slevins's Mouse"
4878,Otomys sloggetti,Sloggett's Vlei Rat
4879,Rhinolophus smithersi,Smithers's Horseshoe Bat
4880,Herpestes smithii,Ruddy Mongoose
4881,Chodsigoa smithii,Smith's Shrew
4882,Eospalax smithii,Smith's Zokor
4883,Kerivoula smithii,Smith's Woolly Bat
4884,Crocidura smithii,Desert Musk Shrew
4885,Myodes smithii,"Smith's Red-backed Vole, Smith's Vole"
4886,Macroglossus sobrinus,"Hill Long-tongued Fruit Bat, Greater Long-nosed Fruit Bat, Greater Long-tongued Fruit Bat, Greater Nectar Bat"
4887,Ctenomys sociabilis,Social Tuco-tuco
4888,Microtus socialis,Social Vole
4889,Arielulus societatis,"Social Sprite, Social Pipistrelle"
4890,Myotis sodalis,"Indiana Bat, Indiana Myotis, Social Bat"
4891,Chodsigoa sodalis,"Lesser Taiwanese Shrew, Koshun Shrew"
4892,Kadarsanomys sodyi,"Javan Bamboo Rat, Sody's Tree Rat"
4893,Nanger soemmerringii,"Soemmerring's Gazelle, Gazelle de Soemmerring"
4894,Cricetulus sokolovi,"Sokolov's Dwarf Hamster, Sokolov's Dwarf Hamster"
4895,Crocidura sokolovi,NA
4896,Allochrocebus solatus,"Sun-tailed Monkey, Sun-tailed Guenon"
4897,Chaerephon solomonis,"Solomons Free-tailed Bat, Solomons Mastiff Bat"
4898,Neoromicia somalica,"Somali Serotine, Somalian Pipistrelle Bat, Somali Pipistrelle Bat, Somali Serotine Bat"
4899,Crocidura somalica,Somali Shrew
4900,Gerbillus somalicus,Somalian Gerbil
4901,Scutisorex somereni,Armored Shrew
4902,Rhinoceros sondaicus,Javan Rhinoceros
4903,Sorex sonomae,Fog Shrew
4904,Neotamias sonomae,Sonoma Chipmunk
4905,Rattus sordidus,"Canefield Rat, Dusky Field Rat"
4906,Mus sorella,"Thomas's Mouse, Thomas's Pygmy Mouse"
4907,Calomys sorellus,"Peruvian Vesper Mouse, Peruvian Laucha"
4908,Hipposideros sorenseni,Sorensen's Leaf-nosed Bat
4909,Sturnira sorianoi,NA
4910,Glossophaga soricina,Pallas's Long-tongued Bat
4911,Brucepattersonius soricinus,"Soricine Akodont, Soricine Brucie"
4912,Uropsilus soricipes,Chinese Shrew Mole
4913,Rhynchomys soricoides,"Northern Luzon Rhynchomys, Mt. Data Shrew Rat, Northern Luzon Shrew-rat"
4914,Microgale soricoides,"Shrew-toothed Shrew Tenrec, Shrew Tenrec"
4915,Myotis soror,Reddish myotis
4916,Miniopterus sororculus,Sororcula Long-fingered Bat
4917,Carollia sowelli,Sowell's Short-tailed Bat
4918,Dyacopterus spadiceus,"Dayak Fruit Bat, Dyak Fruit Bat"
4919,Hylopetes spadiceus,Red-cheeked Flying Squirrel
4920,Sciurus spadiceus,Southern Amazon Red Squirrel
4921,Cephalophus spadix,"Abbott's Duiker, Minde"
4922,Dendrolagus spadix,"Lowlands Tree Kangaroo, Lowland Tree Kangaroo"
4923,Dasyurus spartacus,Bronze Quoll
4924,Megaderma spasma,"Lesser False Vampire, Common Asian Ghost Bat, Lesser False Vampire Bat"
4925,Pteropus speciosus,Philippine Gray Flying Fox
4926,Neotamias speciosus,Lodgepole Chipmunk
4927,Oecomys speciosus,Arboreal Rice Rat
4928,Apodemus speciosus,Large Japanese Field Mouse
4929,Reithrodontomys spectabilis,Cozumel Harvest Mouse
4930,Heteromys spectabilis,Jaliscan Spiny Pocket Mouse
4931,Dipodomys spectabilis,"Banner-tailed Kangaroo Rat, Phillips's Kangaroo Rat"
4932,Vampyrum spectrum,Spectral Bat
4933,Akodon spegazzinii,"Spegazzini's Grass Mouse, Spegazzini's Akodont"
4934,Gazella spekei,Speke's Gazelle
4935,Pectinator spekei,Speke's Pectinator
4936,Tragelaphus spekii,"Sitatunga, Marshbuck"
4937,Eonycteris spelaea,"Dawn Bat, Common Dawn Bat, Common Nectar Bat, Lesser Dawn Bat"
4938,Cryptoprocta spelea,"Giant Fosa, Giant Fossa"
4939,Hipposideros speoris,"Schneider's Leaf-nosed Bat, Schneider's Roundleaf Bat"
4940,Mandrillus sphinx,Mandrill
4941,Cynopterus sphinx,"Greater Shortnosed Fruit Bat, Greater Short-nosed Fruit Bat, Short-nosed Fruit Bat, Short-nosed Indian Fruit Bat"
4942,Mus spicilegus,"Steppe Mouse, Mound-building Mouse"
4943,Peromyscus spicilegus,"Gleaning Deer Mouse, Gleaning Mouse"
4944,Xerospermophilus spilosoma,Spotted Ground Squirrel
4945,Rousettus spinalatus,Bare-backed Rousette
4946,Chaetodipus spinatus,Spiny Pocket Mouse
4947,Phocoena spinipinnis,"Burmeister's Porpoise, Black Porpoise"
4948,Acomys spinosissimus,"Spiny Mouse, Southern African Spiny Mouse"
4949,Neacomys spinosus,Bristly Mouse
4950,Coendou spinosus,"Paraguay Hairy Dwarf Porcupine, Spiny Tree Porcupine"
4951,Euryzygomatomys spinosus,Guiara
4952,Galea spixii,Spix's Yellow-toothed Cavy
4953,Tachyoryctes splendens,East African Mole Rat
4954,Tupaia splendidula,"Ruddy Treeshrew, Ruddy Tree Shrew"
4955,Mus spretus,"Western Mediterranean Mouse, Algerian Mouse"
4956,Lionycteris spurrelli,Chestnut Long-tongued Bat
4957,Mops spurrelli,"Spurrell's Mops Bat, Spurrell's Free-tailed Bat"
4958,Wyulda squamicaudata,"Scaly-tailed Possum, Ilangurra , Yilangal"
4959,Cryptotis squamipes,"Scaly-footed Small-eared Shrew, Western Colombian Small-eared Shrew"
4960,Anourosorex squamipes,"Mole-shrew, Chinese Mole Shrew, Chinese Short-tailed Shrew, Mole Shrew, Sichuan Burrowing Shrew"
4961,Nectomys squamipes,South American Water Rat
4962,Myotis stalkeri,"Stalker's Myotis, Kei Myotis"
4963,Protoxerus stangeri,"African Giant Squirrel, Forest Giant Squirrel"
4964,Talpa stankovici,"Balkan Mole, Stankovic's Mole"
4965,Aethomys stannarius,"Tinfields Rock Rat, West African Aethomys, West African Veld Rat"
