"binomial","range_km_2"
"Anomalurus pusillus",320333.850871577
"Anonymomys mindorensis",469.6977285507
"Anotomys leander",7671.7295663281
"Anoura caudifer",3164979.86088413
"Anoura cultrata",33348.5387270997
"Anoura fistulata",60904.1388020741
"Anoura geoffroyi",3427540.89114397
"Anoura latidens",80318.3115821697
"Anoura luismanueli",35697.0273698532
"Anourosorex assamensis",2818.1863713042
"Anourosorex schmidi",313.1318190338
"Anourosorex squamipes",108656.741204729
"Anourosorex yamashinai",5479.8068330915
"Antechinomys laniger",2389039.21331838
"Antechinus adustus",626.2636380676
"Antechinus agilis",74838.5047490782
"Antechinus bellus",20197.0023276801
"Antechinus flavipes",412864.303396065
"Antechinus godmani",626.2636380676
"Antechinus leo",4070.7136474394
"Antechinus minimus",38515.2137411574
"Antechinus stuartii",64818.2865399966
"Antechinus subtropicus",9550.5204805309
"Antechinus swainsonii",167525.523183083
"Anthops ornatus",7045.4659282605
"Antidorcas marsupialis",1470780.15400176
"Antilocapra americana",202439.721005352
"Antilope cervicapra",1502563.03363369
"Antrozous pallidus",292151.987158535
"Aonyx capensis",312192.423576699
"Aonyx congicus",1186926.16004762
"Aotus azarae",2653009.33676387
"Aotus brumbacki",30060.6546272448
"Aotus griseimembra",43055.6251171475
"Aotus jorgehernandezi",1252.5272761352
"Aotus lemurinus",97383.9957195118
"Aotus miconax",21449.5296038153
"Aotus nancymaae",497409.894535191
"Aotus nigriceps",1218239.341951
"Aotus trivirgatus",660081.87452325
"Aotus vociferans",1011572.34138869
"Aotus zonalis",104429.461647772
"Aplodontia rufa",180677.059582503
"Apodemus agrarius",7568865.76377549
"Apodemus alpicola",43525.3228456982
"Apodemus argenteus",148581.048131538
"Apodemus chevrieri",325657.091795152
"Apodemus draco",292621.684887086
"Apodemus epimelas",173788.159563759
"Apodemus flavicollis",1692477.48187769
"Apodemus gurkha",3287.8840998549
"Apodemus hyrcanicus",15656.59095169
"Apodemus latronum",421788.560238528
"Apodemus mystacinus",324874.262247567
"Apodemus pallipes",34287.9341842011
"Apodemus peninsulae",4454769.82348435
"Apodemus ponticus",230308.45289936
"Apodemus rusiges",8297.9932043957
"Apodemus semotus",34444.500093718
"Apodemus speciosus",326283.35543322
"Apodemus sylvaticus",4550431.59419918
