"binomial","range_km_2"
"Dremomys lokriah",101611.275276468
"Dremomys pernyi",726465.820158416
"Dremomys pyrrhomerus",271485.287102305
"Dremomys rufigenis",856885.222785993
"Dromiciops gliroides",43838.454664732
"Dryomys laniger",33348.5387270997
"Dryomys niethammeri",28.9523286289062
"Dryomys nitedula",1224032.28060312
"Dyacopterus brooksi",68419.3024588853
"Dyacopterus spadiceus",232500.375632596
"Dymecodon pilirostris",27242.4682559406
"Echimys chrysurus",1021592.55959777
"Echimys saturnus",95974.9025338597
"Echimys vieirai",57929.386521253
"Echinops telfairi",102080.973005019
"Echinosorex gymnura",842794.290929473
"Echiothrix centrosa",3914.1477379225
"Echiothrix leucura",626.2636380676
"Echymipera clara",116798.168499607
"Echymipera davidi",156.5659095169
"Echymipera echinista",313.1318190338
"Echymipera kalubu",616399.985768035
"Echymipera rufescens",566925.158360695
"Ectophylla alba",27555.6000749744
"Eidolon dupreanum",49944.5251358911
"Eidolon helvum",8687685.75318326
"Eira barbara",9792571.37664402
"Elaphodus cephalophus",247843.834765253
"Elephantulus brachyrhynchus",1465456.91307818
"Elephantulus edwardii",15969.7227707238
"Elephantulus fuscipes",57146.5569736685
"Elephantulus fuscus",80318.3115821697
"Elephantulus intufi",1086097.71431874
"Elephantulus myurus",459834.076251135
"Elephantulus pilicaudus",1565.659095169
"Elephantulus rozeti",237197.352918103
"Elephantulus rufescens",831208.413625222
"Elephantulus rupestris",98166.8252670963
"Elephas maximus",379985.462397516
"Eligmodontia moreni",1565.659095169
"Eligmodontia morgani",52293.0137786446
"Eligmodontia puerulus",159227.529978687
"Eligmodontia typus",759344.661156965
"Eliomys melanurus",20197.0023276801
"Eliomys munbyanus",139656.791289075
"Eliomys quercinus",957870.234424394
"Eliurus antsingy",626.2636380676
"Eliurus danieli",1252.5272761352
"Eliurus ellermani",19.8138782519531
"Eliurus grandidieri",29590.9568986941
"Eliurus majori",13464.6682184534
"Eliurus minor",46813.2069455531
"Eliurus myoxinus",41333.4001124616
"Eliurus penicillatus",1409.0931856521
"Eliurus petteri",939.3954571014
"Eliurus tanala",47439.4705836207
"Eliurus webbi",49787.9592263742
"Ellobius alaicus",2505.0545522704
"Ellobius fuscocapillus",83136.4979534739
"Ellobius lutescens",76717.295663281
"Ellobius talpinus",123843.634427868
"Ellobius tancrei",292308.553068052
"Emballonura alecto",527470.549162436
"Emballonura beccarii",71237.4888301895
"Emballonura dianae",76873.8615727979
"Emballonura furax",12838.4045803858
"Emballonura monticola",364328.871445826
"Emballonura raffrayana",177232.609573131
"Emballonura semicaudata",782.8295475845
"Emballonura serii",4540.4113759901
"Enchisthenes hartii",1241567.66246902
"Enhydra lutris",2030346.71461516
"Eoglaucomys fimbriatus",23171.7546085012
"Eolagurus luteus",156.5659095169
"Eolagurus przewalskii",782.8295475845
"Eonycteris major",732885.022448609
"Eonycteris robusta",16439.4204992745
"Eonycteris spelaea",2247503.6311151
"Eospalax fontanierii",327066.184980804
"Eospalax rothschildi",128853.743532409
"Eospalax smithii",52293.0137786446
"Eothenomys cachinus",10333.3500281154
"Eothenomys chinensis",3444.4500093718
"Eothenomys custos",62939.4956257938
"Eothenomys melanogaster",770773.972551699
"Eothenomys miletus",22075.7932418829
"Eothenomys olitor",51666.750140577
"Eothenomys proditor",313.1318190338
"Eothenomys wardi",6106.0704711591
"Eozapus setchuanus",161419.452711924
"Episoriculus caudatus",72176.8842872909
"Episoriculus fumidus",13151.5363994196
"Episoriculus leucops",59964.7433449727
"Episoriculus macrurus",84858.7229581598
"Epixerus ebii",186626.564144145
"Epomophorus angolensis",169404.314097286
"Epomophorus anselli",3287.8840998549
"Epomophorus crypturus",831051.847715705
"Epomophorus gambianus",2765893.35752555
"Epomophorus grandis",626.2636380676
"Epomophorus labiatus",1071850.2165527
"Epomophorus minimus",134959.814003568
"Epomophorus wahlbergi",3601329.05070773
"Epomops buettikoferi",621096.963053542
"Epomops dobsonii",189914.448244
"Epomops franqueti",3624344.23940672
"Eptesicus bobrinskoi",31939.4455414476
"Eptesicus bottae",1022688.52096439
"Eptesicus brasiliensis",5181861.90728084
"Eptesicus chiriquinus",117267.866228158
"Eptesicus diminutus",322056.075876263
"Eptesicus dimissus",4070.7136474394
"Eptesicus floweri",687480.908688708
"Eptesicus furinalis",4534618.43733797
"Eptesicus fuscus",3706697.90781261
"Eptesicus gobiensis",1730366.43198078
"Eptesicus guadeloupensis",313.1318190338
"Eptesicus hottentotus",1705629.01827711
"Eptesicus innoxius",28651.5614415927
"Eptesicus japonensis",1095.9613666183
"Eptesicus nilssonii",2477498.95219543
"Eptesicus pachyotis",11429.3113947337
"Eptesicus platyops",156.5659095169
"Eptesicus serotinus",8652458.42354196
"Eptesicus tatei",939.3954571014
"Equus africanus",63096.0615353107
"Equus grevyi",31939.4455414476
"Equus hemionus",297944.925810661
"Equus kiang",82197.1024963725
"Equus quagga",1583507.60885393
"Equus zebra",158131.568612069
"Eremitalpa granti",11116.1795756999
"Eremodipus lichtensteini",272581.248468923
"Eremoryzomys polius",11742.4432137675
"Erethizon dorsatum",3539955.21417711
"Erinaceus amurensis",1208219.12374192
"Erinaceus concolor",819935.668140005
"Erinaceus europaeus",2803782.30762864
"Erinaceus roumanicus",4086057.10657206
"Eropeplus canus",11116.1795756999
"Erophylla bombifrons",82979.932043957
"Erophylla sezekorni",122121.409423182
"Erythrocebus patas",5483877.54673894
"Euchoreutes naso",9550.5204805309
"Euderma maculatum",114919.377585405
"Eudiscopus denticulus",3287.8840998549
"Eudorcas albonotata",122121.409423182
"Eudorcas rufifrons",1716118.93421474
"Eudorcas thomsonii",84232.4593200922
"Eudorcas tilonura",23641.4523370519
"Eulemur albifrons",12994.9704899027
"Eulemur cinereiceps",1565.659095169
"Eulemur collaris",5323.2409235746
"Eulemur coronatus",1722.2250046859
"Eulemur flavifrons",2035.3568237197
"Eulemur fulvus",23171.7546085012
"Eulemur macaco",2818.1863713042
"Eulemur mongoz",2505.0545522704
"Eulemur rubriventer",30686.9182653124
"Eulemur rufifrons",11429.3113947337
"Eulemur rufus",10803.0477566661
"Eulemur sanfordi",1409.0931856521
"Eumops auripendulus",6933521.30295591
"Eumops bonariensis",201343.759638733
"Eumops dabbenei",1539042.89055113
"Eumops floridanus",626.2636380676
"Eumops glaucinus",4570628.59652686
"Eumops hansae",4374764.64372122
"Eumops maurus",843890.252296091
"Eumops patagonicus",493652.312706786
"Eumops perotis",4930417.0565967
"Eumops trumbulli",3136328.29944254
"Eumops underwoodi",250192.323408006
"Euneomys chinchilloides",10803.0477566661
"Euneomys mordax",2035.3568237197
"Euneomys petersoni",104742.593466806
"Euoticus elegantulus",209485.186933612
"Euoticus pallidus",57459.6887927023
"Eupetaurus cinereus",13934.3659470041
"Eupleres goudotii",26772.7705273899
"Euroscaptor grandis",45873.8114884517
"Euroscaptor klossi",325500.525885635
"Euroscaptor longirostris",131358.798084679
"Euroscaptor micrura",11116.1795756999
"Euroscaptor mizura",10176.7841185985
"Euryoryzomys emmonsae",151086.102683808
"Euryoryzomys lamia",111788.059395067
"Euryoryzomys legatus",44464.7183027996
"Euryoryzomys macconnelli",3162787.9381509
"Euryoryzomys nitidus",710339.531478175
"Euryoryzomys russatus",237667.050646654
"Euryzygomatomys spinosus",219818.536961728
"Exilisciurus concinnus",54798.068330915
"Exilisciurus exilis",411924.907938964
"Exilisciurus whiteheadi",131358.798084679
"Falsistrellus mackenziei",15030.3273136224
"Falsistrellus mordax",127131.518527723
"Falsistrellus petersi",1565.659095169
"Falsistrellus tasmaniensis",184278.075501391
"Felis chaus",2300579.47444133
"Felis margarita",1726295.71833334
"Felis nigripes",1131345.26216912
"Felis silvestris",21672949.1566959
"Felovia vae",626.2636380676
"Feroculus feroculus",1095.9613666183
"Fossa fossana",50727.3546834756
"Funambulus layardi",1565.659095169
"Funambulus palmarum",300919.678091482
"Funambulus pennantii",2404069.540632
"Funambulus sublineatus",14404.0636755548
"Funambulus tristriatus",32409.1432699983
"Funisciurus anerythrus",1213542.36466549
"Funisciurus bayonii",1095.9613666183
"Funisciurus carruthersi",29277.8250796603
"Funisciurus congicus",454197.703508527
"Funisciurus duchaillui",3444.4500093718
"Funisciurus isabella",222636.723333032
"Funisciurus lemniscatus",131202.232175162
"Funisciurus leucogenys",116954.734409124
"Funisciurus pyrropus",879430.713756427
"Funisciurus substriatus",10803.0477566661
"Furipterus horrens",4542290.1669043
"Galago gallarum",179894.230034918
"Galago matschiei",31939.4455414476
"Galago moholi",1614194.52711924
"Galago senegalensis",4438643.53480411
"Galagoides thomasi",2596802.1752473
"Galea flavidens",32722.2750890321
"Galea musteloides",12994.9704899027
"Galea spixii",1093612.87797555
"Galemys pyrenaicus",162515.414078542
"Galenomys garleppi",31313.18190338
"Galeopterus variegatus",774844.686199138
"Galictis cuja",2071523.5488181
"Galictis vittata",4544012.39190899
"Galidia elegans",52449.5796881615
"Galidictis fasciata",42116.2296600461
"Galidictis grandidieri",1095.9613666183
"Gazella arabica",17378.8159563759
"Gazella bennettii",2278033.98347089
"Gazella cuvieri",46030.3773979686
"Gazella dorcas",9461277.91210626
"Gazella gazella",4383.8454664732
"Gazella leptoceros",590253.478878713
"Gazella marica",2367119.98598601
"Gazella spekei",15656.59095169
"Gazella subgutturosa",3456975.28213315
"Genetta abyssinica",27555.6000749744
"Genetta angolensis",308278.275838776
"Genetta bourloni",87363.7775104302
"Genetta cristata",76247.5979347303
"Genetta genetta",7460365.58848028
"Genetta johnstoni",162202.282259508
"Genetta maculata",8283745.70662966
"Genetta pardina",979163.198118692
"Genetta piscivora",146545.691307818
"Genetta poensis",40080.8728363264
"Genetta servalina",1118663.42349825
"Genetta thierryi",1412537.63566147
"Genetta tigrina",32878.840998549
"Genetta victoriae",462495.696712923
"Geocapromys brownii",156.5659095169
"Geocapromys ingrahami",18.5890795058594
"Geogale aurita",2818.1863713042
"Geomys arenarius",7515.1636568112
"Geomys attwateri",19570.7386896125
"Geomys breviceps",15813.1568612069
"Geomys bursarius",1008284.45728884
"Geomys knoxjonesi",58712.2160688375
"Geomys personatus",1565.659095169
"Geomys pinetis",130106.270808544
"Geomys texensis",8611.1250234295
"Geomys tropicalis",1722.2250046859
"Georychus capensis",37106.1205555053
"Geoxus valdivianus",72646.5820158416
"Gerbilliscus afra",782.8295475845
"Gerbilliscus boehmi",617339.381225137
"Gerbilliscus brantsii",1362593.11052558
"Gerbilliscus gambiana",247687.268855736
"Gerbilliscus guineae",836061.956820246
"Gerbilliscus inclusus",16752.5523183083
"Gerbilliscus kempi",3887061.83557608
"Gerbilliscus leucogaster",2497382.82270407
"Gerbilliscus nigricaudus",477056.326297994
"Gerbilliscus phillipsi",13464.6682184534
"Gerbilliscus robustus",3593187.62341285
"Gerbilliscus validus",2801277.25307637
"Gerbillurus paeba",1017678.41185985
"Gerbillurus setzeri",47909.1683121714
"Gerbillurus tytonis",27242.4682559406
"Gerbillurus vallinus",112727.454852168
"Gerbillus acticola",23171.7546085012
"Gerbillus amoenus",844203.384115125
"Gerbillus andersoni",80944.5752202373
"Gerbillus aquilus",560192.824251468
"Gerbillus bottai",27555.6000749744
"Gerbillus brockmani",313.1318190338
"Gerbillus campestris",723647.633787112
"Gerbillus cheesmani",2183468.17412269
"Gerbillus cosensis",23171.7546085012
"Gerbillus dasyurus",1391244.67196717
"Gerbillus dunni",162985.111807093
"Gerbillus famulus",40550.5705648771
"Gerbillus floweri",69515.2638255036
"Gerbillus gerbillus",8882610.3105318
"Gerbillus gleadowi",24424.2818846364
"Gerbillus grobbeni",939.3954571014
"Gerbillus harwoodi",72176.8842872909
"Gerbillus henleyi",3143843.46309935
"Gerbillus hesperinus",782.8295475845
"Gerbillus hoogstraali",6419.2022901929
"Gerbillus jamesi",939.3954571014
"Gerbillus juliani",64505.1547209628
"Gerbillus latastei",147641.652674437
"Gerbillus lowei",3131.318190338
"Gerbillus maghrebi",55424.3319689826
"Gerbillus mesopotamiae",91434.4911578696
"Gerbillus muriculus",469.6977285507
"Gerbillus nancillus",857041.78869551
"Gerbillus nanus",9118242.00435474
"Gerbillus nigeriae",66070.8138161318
"Gerbillus occiduus",43525.3228456982
"Gerbillus percivali",18.156332144043
"Gerbillus perpallidus",17691.9477754097
"Gerbillus poecilops",93469.8479815893
"Gerbillus pulvinatus",31939.4455414476
"Gerbillus pusillus",222480.157423515
"Gerbillus pyramidum",2882691.52602516
"Gerbillus rosalinda",62469.7978972431
"Gerbillus rupicola",2661.6204617873
"Gerbillus simoni",76247.5979347303
"Gerbillus somalicus",35540.4614603363
"Gerbillus stigmonyx",5323.2409235746
"Gerbillus tarabuli",5819398.29083365
"Gerbillus watersi",114919.377585405
"Giraffa camelopardalis",1432734.63798915
"Glaucomys sabrinus",2082326.59657477
"Glaucomys volans",1660538.03633624
"Glauconycteris alboguttata",330980.332718727
"Glauconycteris argentata",868627.665999761
"Glauconycteris beatrix",685915.249593539
"Glauconycteris curryae",209954.884662163
"Glauconycteris egeria",251601.416593658
"Glauconycteris gleni",313.1318190338
"Glauconycteris humeralis",212773.071033467
"Glauconycteris kenyacola",156.5659095169
"Glauconycteris machadoi",313.1318190338
"Glauconycteris poensis",685602.117774505
"Glauconycteris superba",469.6977285507
"Glauconycteris variegata",4680694.43091724
"Glironia venusta",2121937.77168255
"Glirulus japonicus",76560.7297537641
"Glis glis",1645820.84084165
"Glischropus javanus",626.2636380676
"Glischropus tylopus",433531.003452296
"Glossophaga commissarisi",1726921.98197141
"Glossophaga leachii",105995.120742941
"Glossophaga longirostris",154217.420874146
"Glossophaga morenoi",87363.7775104302
"Glossophaga soricina",9599682.1761192
"Glyphonycteris behnii",782672.981674983
"Glyphonycteris daviesi",3389182.24331233
"Glyphonycteris sylvestris",3587394.68476073
"Glyphotes simus",16439.4204992745
"Golunda ellioti",2477185.82037639
"Gorilla beringei",44308.1523932827
"Gorilla gorilla",326753.05316177
"Gracilinanus aceramarcae",13308.1023089365
"Gracilinanus agilis",321899.509966746
"Gracilinanus dryas",12525.272761352
"Gracilinanus emiliae",91904.1888864203
"Gracilinanus marica",77343.5593013486
"Gracilinanus microtarsus",196646.782353226
"Grammomys aridulus",156.5659095169
"Grammomys buntingi",80318.3115821697
"Grammomys caniceps",41333.4001124616
"Grammomys cometes",64035.4569924121
"Grammomys dolichurus",1444163.94938389
"Grammomys dryas",5792.9386521253
"Grammomys gigas",1409.0931856521
"Grammomys ibeanus",41489.9660219785
"Grammomys kuru",877708.488751741
"Grammomys macmillani",2661.6204617873
"Grammomys minnae",10959.613666183
"Graomys domorum",15186.8932231393
"Graomys edithae",626.2636380676
"Graomys griseoflavus",156.5659095169
"Graphiurus angolensis",36636.4228269546
"Graphiurus christyi",247530.702946219
"Graphiurus crassicaudatus",167838.655002117
"Graphiurus johnstoni",313.1318190338
"Graphiurus kelleni",1677134.02274503
"Graphiurus lorraineus",1213542.36466549
"Graphiurus microtis",2092033.68296482
"Graphiurus monardi",3287.8840998549
"Graphiurus murinus",493339.180887752
"Graphiurus nagtglasii",258177.184793368
"Graphiurus ocularis",21919.227332366
"Graphiurus platyops",2191.9227332366
"Graphiurus rupicola",313.1318190338
"Graphiurus surdus",39454.6091982588
"Gulo gulo",7859452.09183886
"Gymnobelideus leadbeateri",1878.7909142028
"Gymnuromys roberti",34287.9341842011
"Habromys chinanteco",83.0368104355469
"Habromys delicatulus",782.8295475845
"Habromys ixtlani",92.1515714375
"Habromys lepturus",156.5659095169
"Habromys lophurus",16909.1182278252
"Habromys schmidlyi",80.9470734257812
"Habromys simulatus",2974.7522808211
"Hadromys humei",939.3954571014
"Haeromys margarettae",469.6977285507
"Haeromys minahassae",156.5659095169
"Haeromys pusillus",1095.9613666183
"Handleyomys alfaroi",427268.36707162
"Handleyomys chapmani",15969.7227707238
"Handleyomys fuscatus",54484.9365118812
"Handleyomys intectus",5323.2409235746
"Handleyomys melanotis",63096.0615353107
"Handleyomys rhabdops",2661.6204617873
"Handleyomys rostratus",62626.36380676
"Handleyomys saturatior",30217.2205367617
"Hapalemur alaotrensis",313.1318190338
"Hapalemur aureus",469.6977285507
"Hapalemur griseus",18631.3432325111
"Hapalemur meridionalis",7828.295475845
"Hapalemur occidentalis",8611.1250234295
"Hapalomys delacouri",166742.693635498
"Hapalomys longicaudatus",626.2636380676
"Haplonycteris fischeri",109596.13666183
"Harpiocephalus harpia",198838.705086463
"Harpiola grisea",782.8295475845
"Harpiola isodon",13308.1023089365
"Harpyionycteris celebensis",138717.395831973
"Harpyionycteris whiteheadi",40707.136474394
"Heimyscus fumosus",260995.371164672
"Helarctos malayanus",1059011.81197231
"Heliophobius argenteocinereus",511813.958210746
"Heliosciurus gambianus",3406561.05926871
"Heliosciurus mutabilis",169560.880006803
"Heliosciurus punctatus",119459.788961395
"Heliosciurus rufobrachium",851092.284133868
"Heliosciurus ruwenzorii",85798.1184152612
"Heliosciurus undulatus",129949.704899027
"Helogale hirtula",852188.245500487
"Helogale parvula",2785307.53030565
"Hemibelideus lemuroides",2348.4886427535
"Hemicentetes nigriceps",37106.1205555053
"Hemicentetes semispinosus",75151.636568112
"Hemiechinus auritus",3402960.04334982
"Hemiechinus collaris",246278.175670084
"Hemigalus derbyanus",1207592.86010385
"Hemitragus jemlahicus",45560.6796694179
"Herpestes brachyurus",838410.445462999
"Herpestes edwardsii",540935.217380889
"Herpestes flavescens",82979.932043957
"Herpestes fuscus",30843.4841748293
"Herpestes ichneumon",6851637.33227858
"Herpestes javanicus",1575835.8792876
"Herpestes naso",991845.036789561
"Herpestes ochraceus",400965.294272781
"Herpestes pulverulentus",78282.95475845
"Herpestes sanguineus",12160943.8899062
"Herpestes semitorquatus",732728.456539092
"Herpestes smithii",1567068.18835465
"Herpestes urva",59651.6115259389
"Herpestes vitticollis",136682.039008254
"Hesperoptenus blanfordi",160636.623164339
"Hesperoptenus doriae",2818.1863713042
"Hesperoptenus gaskelli",8.96049577832031
"Hesperoptenus tickelli",428051.196619205
"Hesperoptenus tomesi",10959.613666183
"Heterocephalus glaber",1182385.74867163
"Heterohyrax brucei",2089841.76023158
"Heteromys anomalus",199308.402815014
"Heteromys australis",143884.070846031
"Heteromys desmarestianus",180520.493672986
"Heteromys gaumeri",110535.532118931
"Heteromys nelsoni",626.2636380676
"Heteromys oasicus",2505.0545522704
"Heteromys oresterus",939.3954571014
"Heteromys teleus",12212.1409423182
"Hippocamelus antisensis",360571.289617421
"Hippocamelus bisulcus",76560.7297537641
"Hippopotamus amphibius",281348.939401869
"Hipposideros abae",1074824.96883352
"Hipposideros armiger",322838.905423848
"Hipposideros ater",2388412.94968031
"Hipposideros beatus",1011728.90729821
"Hipposideros bicolor",233283.205180181
"Hipposideros boeadii",469.6977285507
"Hipposideros breviceps",469.6977285507
"Hipposideros caffer",649748.524495135
"Hipposideros calcaratus",68419.3024588853
"Hipposideros camerunensis",156.5659095169
"Hipposideros cervinus",481440.171764467
"Hipposideros cineraceus",770617.406642182
"Hipposideros coronatus",939.3954571014
"Hipposideros corynophyllus",1878.7909142028
"Hipposideros coxi",2661.6204617873
"Hipposideros crumeniferus",2348.4886427535
"Hipposideros curtus",38045.5160126067
"Hipposideros cyclops",1138077.59627835
"Hipposideros demissus",626.2636380676
"Hipposideros diadema",2250008.68566737
"Hipposideros dinops",7515.1636568112
"Hipposideros doriae",306242.919015056
"Hipposideros durgadasi",20040.4364181632
"Hipposideros dyacorum",223262.986971099
"Hipposideros edwardshilli",626.2636380676
"Hipposideros fuliginosus",593384.797069051
"Hipposideros fulvus",269763.062097619
"Hipposideros galeritus",1178628.16684322
"Hipposideros grandis",186783.130053662
"Hipposideros halophyllus",1095.9613666183
"Hipposideros hypophyllus",6732.3341092267
"Hipposideros inexpectatus",626.2636380676
"Hipposideros inornatus",6106.0704711591
"Hipposideros jonesi",864087.254623771
"Hipposideros khaokhouayensis",6732.3341092267
"Hipposideros lamottei",156.5659095169
"Hipposideros lankadiva",339121.760013605
"Hipposideros larvatus",2538246.52508798
"Hipposideros lekaguli",32096.0114509645
"Hipposideros lylei",412864.303396065
"Hipposideros macrobullatus",1722.2250046859
"Hipposideros madurae",1565.659095169
"Hipposideros maggietaylorae",110222.400299898
"Hipposideros marisae",44464.7183027996
"Hipposideros megalotis",392041.037430317
"Hipposideros muscinus",9863.6522995647
"Hipposideros nequam",156.5659095169
"Hipposideros obscurus",112570.888942651
"Hipposideros orbiculus",626.2636380676
"Hipposideros papua",9237.3886614971
"Hipposideros pelingensis",41959.6637505292
"Hipposideros pomona",27085.9023464237
"Hipposideros pratti",2242180.39019152
"Hipposideros pygmaeus",12525.272761352
"Hipposideros ridleyi",48535.431950239
"Hipposideros rotalis",4070.7136474394
"Hipposideros ruber",4677093.41499835
"Hipposideros scutinares",28338.4296225589
"Hipposideros semoni",71394.0547397064
"Hipposideros sorenseni",156.5659095169
"Hipposideros speoris",262091.332531291
"Hipposideros stenotis",322056.075876263
"Hipposideros sumbae",41489.9660219785
"Hipposideros turpis",782.8295475845
"Hipposideros wollastoni",29121.2591701434
"Hippotragus equinus",3669278.65543807
"Hippotragus niger",1683866.35685426
"Histiotus humboldti",14717.1954945886
"Histiotus laephotis",254106.471145929
"Histiotus macrotus",2505.0545522704
"Histiotus magellanicus",330667.200899693
"Histiotus montanus",169091.182278252
"Histiotus velatus",319707.58723351
"Hodomys alleni",4070.7136474394
"Holochilus brasiliensis",1037405.71645898
"Holochilus chacarius",4853.5431950239
"Holochilus sciureus",78752.6524870007
"Hoolock hoolock",219818.536961728
"Hoolock leuconedys",76247.5979347303
"Hoplomys gymnurus",115075.943494921
"Hyaena hyaena",4410931.36881962
"Hybomys badius",313.1318190338
"Hybomys basilii",626.2636380676
"Hybomys lunaris",1095.9613666183
"Hybomys planifrons",157348.739064484
"Hybomys trivirgatus",120242.618508979
"Hybomys univittatus",1670871.38636436
"Hydrochoerus hydrochaeris",4716548.02419661
"Hydrochoerus isthmius",50414.2228644418
"Hydromys chrysogaster",517920.028681905
"Hydromys hussoni",469.6977285507
"Hydromys neobritannicus",11272.7454852168
"Hydromys ziegleri",50.9319832861328
"Hydropotes inermis",29434.3909891772
"Hyemoschus aquaticus",1095961.3666183
"Hyladelphys kalinowskii",2102993.296631
"Hylaeamys acritus",154530.55269318
"Hylaeamys laticeps",42742.4932981137
"Hylaeamys megacephalus",2098139.75343598
"Hylaeamys oniscus",2661.6204617873
"Hylaeamys perenensis",1845598.94138522
"Hylaeamys tatei",313.1318190338
"Hylaeamys yunganus",3112373.71528645
"Hylobates agilis",179424.532306367
"Hylobates albibarbis",142161.845841345
"Hylobates klossii",4227.2795569563
"Hylobates lar",338808.628194572
"Hylobates moloch",15186.8932231393
"Hylobates muelleri",60904.1388020741
"Hylobates pileatus",48222.3001312052
"Hylochoerus meinertzhageni",1407214.3947379
"Hylomys megalotis",8767.6909329464
"Hylomys parvus",9550.5204805309
"Hylomys suillus",990279.377694392
"Hylomyscus aeta",1139956.38719255
"Hylomyscus alleni",940804.550287052
"Hylomyscus baeri",7828.295475845
"Hylomyscus carillus",83293.0638629908
"Hylomyscus denniae",4853.5431950239
"Hylomyscus grandis",156.5659095169
"Hylomyscus parvus",185060.905048976
"Hylomyscus stella",50101.091045408
"Hylonycteris underwoodi",37106.1205555053
"Hylopetes alboniger",351333.900955923
"Hylopetes bartelsi",62.204613078125
"Hylopetes nigripes",782.8295475845
"Hylopetes phayrei",513849.315034466
"Hylopetes platyurus",613581.799396731
"Hylopetes sipora",469.6977285507
"Hylopetes spadiceus",593384.797069051
"Hylopetes winstoni",156.5659095169
"Hyomys dammermani",95818.3366243428
"Hyomys goliath",92217.3207054541
"Hyosciurus heinrichi",26459.6387083561
"Hyosciurus ileile",9550.5204805309
"Hyperacrius fertilis",14873.7614041055
"Hyperacrius wynnei",5636.3727426084
"Hypogeomys antimena",313.1318190338
"Hypsignathus monstrosus",1513052.94957132
"Hypsiprymnodon moschatus",9707.0863900478
"Hystrix africaeaustralis",2513978.80911286
"Hystrix brachyura",4211466.40009509
"Hystrix crassispinis",364955.135083894
"Hystrix cristata",4344077.72545591
"Hystrix indica",3556394.63467638
"Hystrix javanica",15969.7227707238
"Hystrix pumila",1095.9613666183
"Hystrix sumatrae",78752.6524870007
"Ia io",625324.242610499
"Ichneumia albicauda",8439215.65477994
"Ichthyomys hydrobates",76873.8615727979
"Ichthyomys pittieri",1722.2250046859
"Ichthyomys stolzmanni",98949.6548146808
"Ichthyomys tweedii",17065.6841373421
"Ictonyx striatus",9908899.84741508
"Idionycteris phyllotis",133394.154908399
"Idiurus macrotis",453728.005779976
"Idiurus zenkeri",214808.427857187
"Indri indri",19570.7386896125
"Iomys horsfieldii",422414.823876596
"Iomys sipora",939.3954571014
"Irenomys tarsalis",72803.1479253585
"Isoodon auratus",12994.9704899027
"Isoodon macrourus",970238.941276229
"Isoodon obesulus",103490.066190671
"Isothrix barbarabrownae",313.1318190338
"Isothrix bistriata",183964.943682357
"Isothrix negrensis",89555.7002436668
"Isothrix pagurus",279313.58257815
"Isothrix sinnamariensis",3914.1477379225
"Isthmomys flavidus",3131.318190338
"Isthmomys pirrensis",3914.1477379225
"Jaculus blanfordi",890390.32742261
"Jaculus jaculus",7537552.58187211
"Jaculus orientalis",181616.455039604
"Juliomys pictipes",144823.466303132
"Juliomys rimofrons",2818.1863713042
"Juscelinomys huanchacae",31000.0500843462
"Kadarsanomys sodyi",156.5659095169
"Kannabateomys amblyonyx",235788.259732451
"Kerivoula africana",31000.0500843462
"Kerivoula agnella",782.8295475845
"Kerivoula argentata",356500.575969981
"Kerivoula cuprosa",460147.208070169
"Kerivoula eriophora",156.5659095169
"Kerivoula flora",2818.1863713042
"Kerivoula hardwickii",1749310.90703232
"Kerivoula intermedia",327066.184980804
"Kerivoula kachinensis",356970.273698532
"Kerivoula krauensis",2348.4886427535
"Kerivoula lanosa",4979265.62036597
"Kerivoula lenis",28025.2978035251
"Kerivoula minuta",230151.886989843
"Kerivoula muscina",138091.132193906
"Kerivoula myrella",13308.1023089365
"Kerivoula papillosa",16126.2886802407
"Kerivoula pellucida",249566.059769939
"Kerivoula phalaena",830738.715896671
"Kerivoula picta",1740699.78200889
"Kerivoula smithii",1049930.98922033
"Kerivoula titania",280096.412125734
"Kerivoula whiteheadi",105838.554833424
"Kerodon acrobata",12055.5750328013
"Kerodon rupestris",595889.851621321
"Kobus ellipsiprymnus",762632.54525682
"Kobus kob",3131.318190338
"Kobus leche",7828.295475845
"Kobus megaceros",111474.927576033
"Kobus vardonii",74368.8070205275
"Komodomys rintjanus",1565.659095169
"Kunsia tomentosus",406601.667015389
"Laephotis angolensis",4540.4113759901
"Laephotis botswanae",169874.011825836
"Laephotis namibensis",7358.5977472943
"Laephotis wintoni",600586.828906828
"Lagidium viscacia",462339.130803406
"Lagidium wolffsohni",10959.613666183
"Lagorchestes conspicillatus",1805361.50263937
"Lagorchestes hirsutus",156.5659095169
"Lagostomus maximus",169717.44591632
"Lagostrophus fasciatus",156.5659095169
"Lagurus lagurus",1437901.31300321
"Lama guanicoe",778602.268027544
"Lamottemys okuensis",156.5659095169
"Lampronycteris brachyotis",2540908.14554977
"Laonastes aenigmamus",1252.5272761352
"Lariscus hosei",1095.9613666183
"Lariscus insignis",295283.305348873
"Lariscus niobe",91434.4911578696
"Lariscus obscurus",4227.2795569563
"Lasionycteris noctivagans",3376187.27282243
"Lasiopodomys brandtii",91121.3593388358
"Lasiopodomys fuscus",48535.431950239
"Lasiopodomys mandarinus",67949.6047303346
"Lasiorhinus krefftii",156.5659095169
"Lasiorhinus latifrons",46969.77285507
"Lasiurus atratus",267884.271183416
"Lasiurus blossevillii",10513713.9558789
"Lasiurus borealis",1643785.48401793
"Lasiurus castaneus",4540.4113759901
