,binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop
109,Dorcatragus megalotis,10918.12,VU,Herbivore,10500
110,Elaphodus cephalophus,23087.87,NT,Herbivore,387298
111,Elephas maximus,3269794,EN,Herbivore,46557.56
112,Enhydra lutris,27410.93,EN,Insectivore,125831
113,Equus africanus,250000,CR,Herbivore,205
114,Equus grevyi,408000.3,EN,Herbivore,2680
115,Equus hemionus,235248.1,NT,Herbivore,55000
116,Equus kiang,281138.6,LC,Herbivore,97211
117,Equus quagga,400000,NT,Herbivore,500000
118,Eudorcas albonotata,25000,LC,Herbivore,278000
119,Eudorcas rufifrons,26999.77,VU,Herbivore,12000
120,Eudorcas thomsonii,22907.43,NT,Herbivore,550000
121,Eudorcas tilonura,22907.43,EN,Herbivore,2958
122,Eulemur cinereiceps,2250,CR,Herbivore,7265
123,Eumops floridanus,38.47,VU,Insectivore,5809
124,Eupetaurus cinereus,2500,EN,Herbivore,1732
125,Felis margarita,2823.36,LC,Carnivore,40896
126,Felis nigripes,1362.77,VU,Carnivore,13867
127,Galidictis grandidieri,1400,EN,Carnivore,237
128,Gazella arabica,24124.67,VU,Herbivore,8874
129,Gazella bennettii,18916.67,LC,Herbivore,88741
130,Gazella gazella,21306.83,EN,Herbivore,3000
131,Gazella leptoceros,24645.75,EN,Herbivore,636
132,Gazella marica,26981.37,VU,Herbivore,2910
133,Gazella subgutturosa,26981.37,VU,Herbivore,68048
134,Genetta bourloni,1865.378167,VU,Carnivore,14775
135,Genetta cristata,1863.23,VU,Carnivore,10500
136,Genetta piscivora,1648.05,NT,Insectivore,15000
137,Geocapromys ingrahami,733.52,VU,Herbivore,13000
138,Giraffa camelopardalis,964654.7,VU,Herbivore,97562
139,Gorilla beringei,149325.2,CR,Herbivore,3800
140,Gorilla gorilla,112589,CR,Herbivore,320000
141,Gymnobelideus leadbeateri,137.32,CR,Omnivore,3750
142,Hapalemur alaotrensis,1616.83,CR,Herbivore,2500
143,Hapalemur aureus,1562.41,CR,Herbivore,630
144,Hippocamelus antisensis,68599.35,VU,Herbivore,18187
145,Hippocamelus bisulcus,69240.81,EN,Herbivore,1881
146,Hippopotamus amphibius,1536310,VU,Herbivore,122270
147,Hipposideros halophyllus,4,VU,Insectivore,7500
148,Hipposideros hypophyllus,21.81,CR,Insectivore,260
149,Hipposideros inornatus,25.9,VU,Insectivore,821
150,Hippotragus equinus,264174,LC,Herbivore,76000
151,Hippotragus niger,236405.9,LC,Herbivore,75000
152,Hoolock leuconedys,6709.768933,VU,Omnivore,22711
153,Hyaena hyaena,35070.51,NT,Omnivore,10606
154,Hyemoschus aquaticus,10850,LC,Herbivore,278000
155,Hylobates klossii,5822.29,EN,Omnivore,33541
156,Hylobates moloch,5860.81,EN,Herbivore,6708
157,Hylobates pileatus,5542.37,EN,Omnivore,70500
158,Hypogeomys antimena,1175.93,EN,Omnivore,54000
159,Indri indri,8565.48,CR,Herbivore,3162
160,Isoodon auratus,425,VU,Insectivore,45000
161,Isoodon obesulus,824.76,LC,Insectivore,47434
162,Kobus ellipsiprymnus,204393.5,LC,Herbivore,200000
163,Kobus kob,80035.21,LC,Herbivore,1060660
164,Kobus leche,88645.04,NT,Herbivore,158750
165,Kobus vardonii,71462.72,NT,Herbivore,130000
166,Lagorchestes hirsutus,1407.14,VU,Herbivore,6000
167,Lagostrophus fasciatus,1933.48,VU,Herbivore,6364
168,Lama guanicoe,120000,LC,Herbivore,1816590
169,Lasiorhinus krefftii,31849.99,CR,Herbivore,120
170,Lasiorhinus latifrons,26163.8,NT,Herbivore,270000
171,Leontopithecus caissara,604.01,CR,Omnivore,400
172,Leontopithecus chrysomelas,572.8,EN,Omnivore,9487
173,Leontopithecus chrysopygus,656.12,EN,Omnivore,1500
174,Leontopithecus rosalia,592.52,EN,Omnivore,1500
175,Leopardus guigna,2200,VU,Carnivore,35201
176,Leopardus guttulus,2250,VU,Carnivore,9070.5
177,Leopardus jacobita,8133.78,EN,Carnivore,2755
178,Leopardus tigrinus,2250,VU,Carnivore,14323
179,Lepilemur jamesorum,726.98875,CR,Herbivore,1386
180,Lepilemur septentrionalis,755.77,CR,Herbivore,11
181,Leporillus conditor,328.82,NT,Herbivore,5196
182,Liberiictis kuhni,1825.47,VU,Insectivore,7800
183,Litocranius walleri,38804.37,NT,Herbivore,95000
184,Lonchophylla dekeyseri,14.12333333,EN,Omnivore,2500
185,Lonchorhina fernandezi,14.03,EN,Insectivore,225
186,Loxodonta africana,3824540,EN,Herbivore,441683.5
187,Lycalopex fulvipes,3085,EN,Omnivore,733.5
188,Lycaon pictus,21999.99,EN,Carnivore,6600
189,Macaca cyclopis,5748.94,LC,Omnivore,10000
190,Macaca maura,7290.3,EN,Omnivore,3873
191,Macaca pagensis,4534.66,CR,Herbivore,2787
192,Macaca siberu,7500,VU,Herbivore,22583
193,Macaca sylvanus,11471.53,EN,Herbivore,15000
194,Macroderma gigas,124.37,VU,Carnivore,11906
195,Macrogalidia musschenbroekii,5148.86,VU,Omnivore,13500
196,Macropus eugenii,5278.48,LC,Herbivore,33541
197,Macropus irma,8000,LC,Herbivore,33541
198,Macrotis lagotis,1229.58,VU,Herbivore,11619
199,Madoqua guentheri,4623.7,LC,Herbivore,511000
200,Madoqua kirkii,4833.4,LC,Herbivore,971000
201,Madoqua piacentinii,2500,DD,Herbivore,30000
202,Madoqua saltiana,3424.47,LC,Herbivore,485600
203,Marmota caudata,4350,LC,Herbivore,600000
204,Marmota menzbieri,3250,VU,Herbivore,22000
205,Marmota olympus,6299.99,LC,Herbivore,4243
206,Marmota vancouverensis,5232.43,CR,Herbivore,108
207,Martes gwatkinsii,2038.49,VU,Omnivore,1500
208,Mastacomys fuscus,125.72,NT,Herbivore,67082
209,Mazama bororo,18335.81714,VU,Herbivore,12750
210,Mesembriomys gouldii,716.49,VU,Omnivore,45000
211,Mesocapromys auritus,1533.200179,EN,Omnivore,1335
212,Microcebus berthae,33.45,EN,Omnivore,12000
213,Microtus abbreviatus,66.06,LC,Herbivore,465531
214,Microtus breweri,54,VU,Herbivore,5477
215,Microtus tatricus,40,LC,Herbivore,223607
216,Mirza zaza,326.5,EN,Insectivore,54118
217,Muntiacus crinifrons,18590.01,VU,Herbivore,7714
218,Mustela felipei,211.3,VU,Carnivore,2000
219,Myotis grisescens,10.84,NT,Insectivore,2000000
220,Myotis planiceps,9.597169811,EN,Insectivore,360
221,Myrmecobius fasciatus,511.44,EN,Insectivore,1200
222,Myzopoda aurita,9.1,LC,Insectivore,172867
223,Myzopoda schliemanni,9.1,LC,Insectivore,136437
224,Nanger dama,71424.81,CR,Herbivore,212
225,Nanger soemmerringii,41582.93,VU,Herbivore,6708
226,Neofelis diardi,22500,VU,Carnivore,6750
227,Neotragus batesi,2967.45,LC,Herbivore,219000
228,Neotragus pygmaeus,3913.68,LC,Herbivore,62000
229,Nesotragus moschatus,6499,LC,Herbivore,365000
230,Nilgiritragus hylocrius,75000,EN,Herbivore,1897
231,Nomascus concolor,6410.47,CR,Herbivore,1612
232,Nomascus hainanus,7790,CR,Herbivore,20
233,Nomascus nasutus,7124.094,CR,Herbivore,69
234,Notomys aquilo,38.99,EN,Herbivore,15000
235,Notomys cervinus,34.79,NT,Herbivore,28460
236,Notoryctes typhlops,55,LC,Insectivore,47434
237,Nyctalus azoreum,28.97666667,VU,Insectivore,3162
238,Ochotona iliensis,165,EN,Herbivore,1000
239,Okapia johnstoni,230001.1,EN,Herbivore,41833
240,Onychogalea fraenata,4952.05,VU,Herbivore,1407
241,Oreamnos americanus,72105.4,LC,Herbivore,97570
242,Oreotragus oreotragus,13486.55,LC,Herbivore,42000
243,Ornithorhynchus anatinus,1484.25,NT,Insectivore,103308.705
244,Oryx beisa,200576.5,NT,Herbivore,47021.27
245,Oryx gazella,188404.5,LC,Herbivore,373000
246,Oryx leucoryx,75788.24,VU,Herbivore,1220
247,Otocolobus manul,3500,NT,Carnivore,20500
248,Ourebia ourebi,17186.09,LC,Herbivore,750000
249,Ovibos moschatus,312500,LC,Herbivore,203109
250,Ovis ammon,113998.7,NT,Herbivore,93187
251,Ovis canadensis,74644.87,LC,Herbivore,62900
252,Ovis dalli,70194.13,LC,Herbivore,113973
253,Ovis nivicola,90000,LC,Herbivore,89861
254,Ozotoceros bezoarticus,34620.4,NT,Herbivore,40000
255,Pan troglodytes,45000,EN,Herbivore,402679
256,Panthera leo,158623.9,VU,Carnivore,32000
257,Panthera onca,83943.09,NT,Carnivore,64000
258,Panthera tigris,161914.7,EN,Carnivore,3913
259,Panthera uncia,41000,VU,Carnivore,7500
260,Pantholops hodgsonii,32733.12,NT,Herbivore,225000
261,Parantechinus apicalis,71.31,EN,Insectivore,1050
262,Pelea capreolus,22731.33,NT,Herbivore,18000
263,Pentalagus furnessi,2253.25,EN,Herbivore,5000
264,Perameles bougainville,230.8,VU,Omnivore,3354
265,Perameles gunnii,903.46,VU,Omnivore,37723.005
266,Peromyscus mekisturus,59.99,CR,Omnivore,11
267,Petauroides volans,1257.17,VU,Herbivore,237171
268,Petaurus australis,567.15,NT,Omnivore,237171
269,Petrogale concinna,1398.2,EN,Herbivore,10607
270,Petrogale godmani,4750,NT,Herbivore,15000
271,Petrogale lateralis,4567.88,VU,Herbivore,10954
272,Petrogale mareeba,4644.155385,NT,Herbivore,15000
273,Petrogale penicillata,6931.6,VU,Herbivore,21213
274,Petrogale purpureicollis,4500,NT,Herbivore,12500
275,Petrogale sharmani,4644.155385,VU,Herbivore,800
276,Phalanger matanim,1442.38,CR,Omnivore,60
277,Phascogale tapoatafa,192.65,NT,Omnivore,22500
278,Phascolarctos cinereus,6528.74,VU,Herbivore,423965
279,Philantomba maxwellii,8557.69,LC,Omnivore,2137000
280,Phyllonycteris aphylla,14.15,CR,Herbivore,375
281,Piliocolobus gordonorum,3977.86,EN,Herbivore,15400
282,Pipistrellus maderensis,5.93375,VU,Insectivore,47
283,Poiana leightoni,570.08,VU,Omnivore,12278
284,Pongo abelii,39696.12,CR,Omnivore,13846
285,Pongo pygmaeus,53408.29,CR,Omnivore,104700
286,Porcula salvania,9200,CR,Omnivore,474
287,Potorous gilbertii,1569.46,CR,Herbivore,73.5
288,Potorous longipes,1835.06,VU,Omnivore,4500
289,Potorous tridactylus,1054.67,NT,Omnivore,112500
290,Presbytis chrysomelas,6630,CR,Herbivore,354
291,Presbytis potenziani,6449.53,EN,Herbivore,36000
292,Prionailurus planiceps,3533.76,EN,Carnivore,3749
293,Procapra gutturosa,28274.27,LC,Herbivore,1000000
294,Procapra picticaudata,23197.67,NT,Herbivore,150000
295,Procapra przewalskii,27499.99,EN,Herbivore,1469
296,Procyon pygmaeus,2958.03,CR,Omnivore,465
297,Propithecus coquereli,4189.27,EN,Herbivore,200000
298,Propithecus perrieri,6500,CR,Herbivore,500
299,Propithecus tattersalli,3531.39,CR,Herbivore,7746
300,Pseudantechinus bilarni,23.05,LC,Insectivore,17321
301,Pseudantechinus mimulus,17,NT,Insectivore,106
302,Pseudochirulus cinereus,977.48,NT,Herbivore,54943
303,Pseudois nayaur,52334.57,LC,Herbivore,209238
304,Pseudomys australis,52.97,VU,Omnivore,15000
305,Pseudomys calabyi,13,VU,Omnivore,22500
306,Pseudomys fieldi,42.35,VU,Omnivore,15000
307,Pseudomys fumeus,68.75,VU,Herbivore,106
308,Pseudomys novaehollandiae,16.8,VU,Omnivore,12000
309,Pseudomys oralis,95,VU,Omnivore,7500
310,Pseudomys shortridgei,72.06,NT,Omnivore,16500
311,Pseudoryx nghetinhensis,97842.2,CR,Herbivore,195
312,Pteralopex taki,452.2333333,VU,Herbivore,822
313,Pteropus aldabrensis,310.29,VU,Herbivore,400
314,Pteropus dasymallus,491.86,VU,Herbivore,6364
315,Pteropus livingstonii,734.27,CR,Herbivore,1300
316,Pteropus mariannus,458.58,EN,Herbivore,10049
317,Pteropus niger,474.43,VU,Herbivore,62500
318,Pteropus pselaphon,452.5545,EN,Herbivore,346
319,Pteropus rodricensis,256.17,EN,Herbivore,30000
320,Pteropus rufus,452.5545,VU,Herbivore,450000
321,Pteropus seychellensis,492.2,LC,Herbivore,10000
322,Pygathrix cinerea,10050,CR,Herbivore,620
323,Rangifer tarandus,109088.5,VU,Herbivore,2890410
324,Raphicerus melanotis,10503.14,LC,Herbivore,231448
325,Raphicerus sharpei,9396.9,LC,Herbivore,95000
326,Redunca arundinum,58059.24,LC,Herbivore,73000
327,Reithrodontomys spectabilis,20.19,CR,Herbivore,152
328,Rhinoceros sondaicus,1750000,CR,Herbivore,83
329,Rhinoceros unicornis,1843656,VU,Herbivore,2575
330,Rhinopithecus brelichi,12267.15,EN,Herbivore,750
331,Rhinopithecus strykeri,11452.67,CR,Herbivore,439
332,Rhinopoma hadramauticum,9.13,EN,Carnivore,225
333,Rhynchocyon chrysopygus,535.2,EN,Insectivore,14142
334,Rhynchocyon udzungwensis,711,VU,Carnivore,18974
335,Romerolagus diazi,465.58,EN,Herbivore,5480
336,Rucervus duvaucelii,171223.9,VU,Herbivore,4225
337,Rucervus eldii,95471.61,EN,Herbivore,7000
338,Rungwecebus kipunji,13,CR,Herbivore,1117
339,Rupicapra pyrenaica,29999.99,LC,Herbivore,75000
340,Rupicapra rupicapra,33266.35,LC,Herbivore,682500
341,Rusa alfredi,46475.04,EN,Herbivore,1050
342,Rusa timorensis,66375.5,VU,Herbivore,14998.5
343,Saguinus oedipus,462.04,CR,Omnivore,6000
344,Saiga tatarica,37734.01,CR,Herbivore,50000
345,Saimiri oerstedii,714.18,VU,Omnivore,1530
346,Santamartamys rufodorsalis,148,CR,Herbivore,11
347,Sapajus flavius,2920,CR,Omnivore,1000
348,Sarcophilus harrisii,8202.25,EN,Carnivore,23717
349,Semnopithecus ajax,17200,EN,Herbivore,500
350,Setonix brachyurus,3027.67,VU,Herbivore,17404
351,Simias concolor,7393.9,CR,Herbivore,10766
352,Sminthopsis leucopus,23.36,LC,Carnivore,13416
353,Sminthopsis psammophila,33.5,VU,Carnivore,10607
354,Spalax giganteus,211.245,LC,Herbivore,1000
355,Speothos venaticus,6324.54,NT,Carnivore,110000
356,Sylvicapra grimmia,15639.15,LC,Herbivore,4074310
357,Syncerus caffer,592666,LC,Herbivore,570996
358,Tapirus bairdii,293781.6,EN,Herbivore,4500
359,Tapirus indicus,311209.2,EN,Herbivore,3750
