binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Ctenomys coludo,264.7784159,DD,Herbivore,RODENTIA
Ctenomys conoveri,859.99,LC,Herbivore,RODENTIA
Ctenomys coyhaiquensis,264.7784159,DD,Herbivore,RODENTIA
Ctenomys dorbignyi,264.7784159,NT,Herbivore,RODENTIA
Ctenomys dorsalis,165.6,DD,Herbivore,RODENTIA
Ctenomys emilianus,285.29,NT,Herbivore,RODENTIA
Ctenomys famosus,264.7784159,DD,Herbivore,RODENTIA
Ctenomys flamarioni,264.7784159,EN,Herbivore,RODENTIA
Ctenomys fochi,264.7784159,DD,Herbivore,RODENTIA
Ctenomys fodax,264.7784159,DD,Herbivore,RODENTIA
Ctenomys frater,172.9,LC,Herbivore,RODENTIA
Ctenomys fulvus,279.88,LC,Herbivore,RODENTIA
Ctenomys goodfellowi,5.428350776,LC,Herbivore,RODENTIA
Ctenomys haigi,164,LC,Herbivore,RODENTIA
Ctenomys johannis,264.7784159,DD,Herbivore,RODENTIA
Ctenomys juris,264.7784159,DD,Herbivore,RODENTIA
Ctenomys knighti,316,DD,Herbivore,RODENTIA
Ctenomys lami,264.7784159,VU,Herbivore,RODENTIA
Ctenomys latro,192,VU,Herbivore,RODENTIA
Ctenomys leucodon,243.6,LC,Herbivore,RODENTIA
Ctenomys lewisi,117.2,LC,Herbivore,RODENTIA
Ctenomys magellanicus,271.44,VU,Herbivore,RODENTIA
Ctenomys maulinus,215,LC,Herbivore,RODENTIA
Ctenomys mendocinus,178.44,LC,Herbivore,RODENTIA
Ctenomys minutus,92,DD,Herbivore,RODENTIA
Ctenomys occultus,150,EN,Herbivore,RODENTIA
Ctenomys opimus,327.05,LC,Herbivore,RODENTIA
Ctenomys osvaldoreigi,264.7784159,CR,Herbivore,RODENTIA
Ctenomys pearsoni,212,NT,Herbivore,RODENTIA
Ctenomys perrensi,400,LC,Herbivore,RODENTIA
Ctenomys peruanus,488.36,LC,Herbivore,RODENTIA
Ctenomys pilarensis,264.7784159,EN,Herbivore,RODENTIA
Ctenomys pontifex,400,DD,Herbivore,RODENTIA
Ctenomys porteousi,192.4,NT,Herbivore,RODENTIA
Ctenomys pundti,163.05,VU,Herbivore,RODENTIA
Ctenomys rionegrensis,5.428350776,EN,Herbivore,RODENTIA
Ctenomys roigi,264.7784159,CR,Herbivore,RODENTIA
Ctenomys saltarius,230,DD,Herbivore,RODENTIA
Ctenomys scagliai,264.7784159,DD,Herbivore,RODENTIA
Ctenomys sericeus,400,DD,Herbivore,RODENTIA
Ctenomys sociabilis,400,CR,Herbivore,RODENTIA
Ctenomys steinbachi,384.99,LC,Herbivore,RODENTIA
Ctenomys talarum,140.84,LC,Herbivore,RODENTIA
Ctenomys torquatus,209.49,LC,Herbivore,RODENTIA
Ctenomys tuconax,248.99,DD,Herbivore,RODENTIA
Ctenomys tucumanus,217,DD,Herbivore,RODENTIA
Ctenomys tulduco,264.7784159,DD,Herbivore,RODENTIA
Ctenomys validus,232.6,DD,Herbivore,RODENTIA
Ctenomys viperinus,264.7784159,DD,Herbivore,RODENTIA
Ctenomys yolandae,264.7784159,DD,Herbivore,RODENTIA
Cuniculus paca,8172.55,LC,Herbivore,RODENTIA
Cuniculus taczanowskii,8999.95,NT,Omnivore,RODENTIA
Cuon alpinus,15800,EN,Carnivore,CARNIVORA
Cuscomys ashaninka,164.2793,DD,Herbivore,RODENTIA
Cyclopes didactylus,263.95,LC,Insectivore,PILOSA
Cynictis penicillata,694.41,LC,Carnivore,CARNIVORA
Cynocephalus volans,1250,LC,Herbivore,DERMOPTERA
Cynogale bennettii,4246.57,EN,Omnivore,CARNIVORA
Cynomops abrasus,35.39,DD,Insectivore,CHIROPTERA
Cynomops greenhalli,15.87,LC,Insectivore,CHIROPTERA
Cynomops mexicanus,19.065,LC,Insectivore,CHIROPTERA
Cynomops paranus,12.16,DD,Insectivore,CHIROPTERA
Cynomops planirostris,12.84,LC,Insectivore,CHIROPTERA
Cynomys gunnisoni,797.93,LC,Herbivore,RODENTIA
Cynomys leucurus,963.76,LC,Herbivore,RODENTIA
Cynomys ludovicianus,797.05,LC,Herbivore,RODENTIA
Cynomys mexicanus,899.98,EN,Herbivore,RODENTIA
Cynomys parvidens,899.98,EN,Omnivore,RODENTIA
Cynopterus brachyotis,33.87,LC,Herbivore,CHIROPTERA
Cynopterus horsfieldii,56.01,LC,Herbivore,CHIROPTERA
Cynopterus luzoniensis,43.874,LC,Herbivore,CHIROPTERA
Cynopterus minutus,26.45,LC,Herbivore,CHIROPTERA
Cynopterus nusatenggara,43.874,LC,Herbivore,CHIROPTERA
Cynopterus sphinx,44.71,LC,Herbivore,CHIROPTERA
Cynopterus titthaecheilus,58.33,LC,Herbivore,CHIROPTERA
Cyttarops alecto,5.3,LC,Insectivore,CHIROPTERA
Dacnomys millardi,141.0605074,DD,Omnivore,RODENTIA
Dactylomys boliviensis,728.8,LC,Herbivore,RODENTIA
Dactylomys dactylinus,649.98,LC,Herbivore,RODENTIA
Dactylomys peruanus,382,DD,Herbivore,RODENTIA
Dactylonax palpator,359,LC,Insectivore,DIPROTODONTIA
Dactylopsila megalura,319.2747,LC,Omnivore,DIPROTODONTIA
Dactylopsila tatei,252,EN,Omnivore,DIPROTODONTIA
Dactylopsila trivirgata,413.41,LC,Insectivore,DIPROTODONTIA
Dama dama,57224.61,LC,Herbivore,CETARTIODACTYLA
Dama mesopotamica,57224.61,EN,Herbivore,CETARTIODACTYLA
Damaliscus lunatus,136000.3,LC,Herbivore,CETARTIODACTYLA
Damaliscus pygargus,77784.55,LC,Herbivore,CETARTIODACTYLA
Dasycercus blythi,99.54,LC,Carnivore,DASYUROMORPHIA
Dasycercus cristicauda,99.54,NT,Carnivore,DASYUROMORPHIA
Dasykaluta rosamondae,32.17,LC,Carnivore,DASYUROMORPHIA
Dasymys foxi,81.91666667,DD,Herbivore,RODENTIA
Dasymys incomtus,127.75,LC,Herbivore,RODENTIA
Dasymys montanus,59,EN,Herbivore,RODENTIA
Dasymys nudipes,81.91666667,DD,Herbivore,RODENTIA
Dasymys rufulus,59,LC,Herbivore,RODENTIA
Dasyprocta azarae,2976.81,DD,Herbivore,RODENTIA
Dasyprocta coibae,8.082422901,VU,Herbivore,RODENTIA
Dasyprocta fuliginosa,3500.02,LC,Herbivore,RODENTIA
Dasyprocta guamara,2650.03,NT,Herbivore,RODENTIA
Dasyprocta kalinowskii,2650.03,DD,Herbivore,RODENTIA
Dasyprocta leporina,3009.99,LC,Herbivore,RODENTIA
Dasyprocta mexicana,4999.99,CR,Herbivore,RODENTIA
Dasyprocta prymnolopha,2900,LC,Herbivore,RODENTIA
Dasyprocta punctata,2309.12,LC,Herbivore,RODENTIA
Dasyprocta ruatanica,2300,EN,Herbivore,RODENTIA
Dasypus hybridus,1500,NT,Insectivore,CINGULATA
Dasypus kappleri,9702.83,LC,Insectivore,CINGULATA
Dasypus novemcinctus,3949.01,LC,Insectivore,CINGULATA
Dasypus pilosus,4444.98,DD,Insectivore,CINGULATA
Dasypus sabanicola,1150.01,NT,Insectivore,CINGULATA
Dasypus septemcinctus,1526.64,LC,Insectivore,CINGULATA
Dasypus yepesi,3712.245,DD,Insectivore,CINGULATA
Dasyuroides byrnei,109.47,VU,Carnivore,DASYUROMORPHIA
Dasyurus albopunctatus,603.48,NT,Carnivore,DASYUROMORPHIA
Dasyurus geoffroii,1106.62,NT,Insectivore,DASYUROMORPHIA
Dasyurus hallucatus,470.92,EN,Insectivore,DASYUROMORPHIA
Dasyurus maculatus,3284.15,NT,Omnivore,DASYUROMORPHIA
Dasyurus spartacus,885.67,NT,Omnivore,DASYUROMORPHIA
Dasyurus viverrinus,1101.49,EN,Omnivore,DASYUROMORPHIA
Daubentonia madagascariensis,2731.37,EN,Omnivore,PRIMATES
Delanymys brooksi,4.99,VU,Omnivore,RODENTIA
Delomys collinus,67,LC,Omnivore,RODENTIA
Delomys dorsalis,67.5,LC,Omnivore,RODENTIA
Delomys sublineatus,89.99,LC,Omnivore,RODENTIA
Deltamys kempi,26.4,LC,Omnivore,RODENTIA
Dendrogale melanura,59.99,DD,Insectivore,SCANDENTIA
Dendrogale murina,49.99,LC,Insectivore,SCANDENTIA
Dendrohyrax arboreus,2981.11,LC,Herbivore,HYRACOIDEA
Dendrohyrax dorsalis,3174.99,LC,Herbivore,HYRACOIDEA
Dendrohyrax validus,2430,NT,Herbivore,HYRACOIDEA
Dendrolagus bennettianus,10458.82,NT,Herbivore,DIPROTODONTIA
Dendrolagus dorianus,8976.58,VU,Herbivore,DIPROTODONTIA
Dendrolagus goodfellowi,7948.78,EN,Herbivore,DIPROTODONTIA
Dendrolagus inustus,12625,VU,Herbivore,DIPROTODONTIA
Dendrolagus lumholtzi,6649.97,NT,Herbivore,DIPROTODONTIA
Dendrolagus matschiei,8293.4,EN,Herbivore,DIPROTODONTIA
Dendrolagus mbaiso,9395.06,EN,Herbivore,DIPROTODONTIA
Dendrolagus notatus,9469.198333,EN,Herbivore,DIPROTODONTIA
Dendrolagus pulcherrimus,8025,CR,Herbivore,DIPROTODONTIA
Dendrolagus scottae,9958.58,CR,Herbivore,DIPROTODONTIA
Dendrolagus spadix,8468.2,VU,Herbivore,DIPROTODONTIA
Dendrolagus stellarum,9581,VU,Herbivore,DIPROTODONTIA
Dendrolagus ursinus,13249.99,VU,Herbivore,DIPROTODONTIA
Dendromus insignis,11.051,LC,Omnivore,RODENTIA
Dendromus kahuziensis,3.009225357,CR,Omnivore,RODENTIA
Dendromus kivu,8.508934408,LC,Omnivore,RODENTIA
Dendromus lovati,12,LC,Omnivore,RODENTIA
Dendromus melanotis,9.1,LC,Omnivore,RODENTIA
Dendromus mesomelas,10.2,LC,Omnivore,RODENTIA
Dendromus messorius,4.039489771,LC,Omnivore,RODENTIA
Dendromus mystacalis,8.17,LC,Omnivore,RODENTIA
Dendromus nyikae,15,LC,Omnivore,RODENTIA
Dendromus oreas,4.010694547,LC,Omnivore,RODENTIA
Dendromus vernayi,8.508934408,DD,Omnivore,RODENTIA
Dendroprionomys rousseloti,115.8328212,DD,Insectivore,RODENTIA
Deomys ferrugineus,57.6,LC,Insectivore,RODENTIA
Dephomys defua,43.05,LC,Omnivore,RODENTIA
Desmana moschata,427.64,EN,Insectivore,EULIPOTYPHLA
Desmodilliscus braueri,10,LC,Herbivore,RODENTIA
Desmodillus auricularis,54.81,LC,Omnivore,RODENTIA
Desmodus rotundus,33.16,LC,Insectivore,CHIROPTERA
Desmomys harringtoni,89.99,LC,Omnivore,RODENTIA
Desmomys yaldeni,89.99,VU,Omnivore,RODENTIA
Diaemus youngi,36.71,LC,Insectivore,CHIROPTERA
Dicerorhinus sumatrensis,1046156,CR,Herbivore,PERISSODACTYLA
Diceros bicornis,995940.5,CR,Herbivore,PERISSODACTYLA
Diclidurus albus,16.56,LC,Insectivore,CHIROPTERA
Diclidurus ingens,12.3,DD,Insectivore,CHIROPTERA
Diclidurus scutatus,13.62,LC,Insectivore,CHIROPTERA
Dicrostonyx groenlandicus,58.44,LC,Herbivore,RODENTIA
Dicrostonyx hudsonius,57,LC,Herbivore,RODENTIA
Dicrostonyx nelsoni,55,LC,Herbivore,RODENTIA
Dicrostonyx nunatakensis,54.4,LC,Herbivore,RODENTIA
Dicrostonyx richardsoni,55,LC,Herbivore,RODENTIA
Dicrostonyx torquatus,78.77,LC,Herbivore,RODENTIA
Dicrostonyx unalascensis,59.76833333,DD,Herbivore,RODENTIA
Dicrostonyx vinogradovi,59.76833333,DD,Herbivore,RODENTIA
Didelphis albiventris,1030.47,LC,Omnivore,DIDELPHIMORPHIA
Didelphis aurita,1105.88,LC,Omnivore,DIDELPHIMORPHIA
Didelphis imperfecta,904.003,LC,Omnivore,DIDELPHIMORPHIA
Didelphis marsupialis,1134.75,LC,Omnivore,DIDELPHIMORPHIA
Didelphis pernigra,904.003,LC,Omnivore,DIDELPHIMORPHIA
Didelphis virginiana,2442.08,LC,Omnivore,DIDELPHIMORPHIA
Dinaromys bogdanovi,56,VU,Herbivore,RODENTIA
Dinomys branickii,12500,LC,Herbivore,RODENTIA
Diomys crumpi,141.0605074,DD,Omnivore,RODENTIA
Diphylla ecaudata,28.11,LC,Insectivore,CHIROPTERA
Diplogale hosei,1450,VU,Insectivore,CARNIVORA
Diplomesodon pulchellum,11,LC,Insectivore,EULIPOTYPHLA
Diplomys caniceps,394.49,DD,Herbivore,RODENTIA
Diplomys labilis,282.17,LC,Herbivore,RODENTIA
Diplothrix legata,63.85388804,EN,Omnivore,RODENTIA
Dipodomys agilis,60.21,LC,Herbivore,RODENTIA
Dipodomys californicus,84.95,LC,Herbivore,RODENTIA
Dipodomys compactus,49.25,LC,Herbivore,RODENTIA
Dipodomys deserti,107.63,LC,Omnivore,RODENTIA
Dipodomys elator,105.82,VU,Omnivore,RODENTIA
Dipodomys gravipes,83.96,CR,Omnivore,RODENTIA
Dipodomys heermanni,63.08,LC,Herbivore,RODENTIA
Dipodomys ingens,113.61,EN,Herbivore,RODENTIA
Dipodomys merriami,37.91,LC,Omnivore,RODENTIA
Dipodomys microps,56.26,LC,Herbivore,RODENTIA
Dipodomys nelsoni,87.93,LC,Omnivore,RODENTIA
Dipodomys nitratoides,41.59,VU,Herbivore,RODENTIA
Dipodomys ordii,50.4,LC,Omnivore,RODENTIA
Dipodomys panamintinus,73.67,LC,Herbivore,RODENTIA
Dipodomys phillipsii,41,LC,Herbivore,RODENTIA
Dipodomys simulans,57.7,LC,Herbivore,RODENTIA
Dipodomys spectabilis,124.61,NT,Omnivore,RODENTIA
Dipodomys stephensi,68.49,EN,Omnivore,RODENTIA
Dipodomys venustus,81.52,LC,Herbivore,RODENTIA
Dipus sagitta,89,LC,Omnivore,RODENTIA
Distoechurus pennatus,52.74,LC,Omnivore,DIPROTODONTIA
Dobsonia anderseni,233.99,LC,Herbivore,CHIROPTERA
Dobsonia beauforti,165.35,LC,Herbivore,CHIROPTERA
Dobsonia chapmani,224.3275,CR,Herbivore,CHIROPTERA
Dobsonia crenulata,218.21,LC,Herbivore,CHIROPTERA
Dobsonia emersa,201.06,VU,Herbivore,CHIROPTERA
Dobsonia exoleta,302.03,LC,Herbivore,CHIROPTERA
Dobsonia inermis,152.6,LC,Herbivore,CHIROPTERA
Dobsonia minor,85.95,LC,Herbivore,CHIROPTERA
Dobsonia moluccensis,447.64,LC,Herbivore,CHIROPTERA
Dobsonia pannietensis,239.19,NT,Herbivore,CHIROPTERA
Dobsonia peronii,226.51,LC,Herbivore,CHIROPTERA
Dobsonia praedatrix,178.74,LC,Herbivore,CHIROPTERA
Dobsonia viridis,240.66,LC,Herbivore,CHIROPTERA
Dolichotis patagonum,8000,NT,Herbivore,RODENTIA
Dolichotis salinicola,1607.6,LC,Herbivore,RODENTIA
Dologale dybowskii,361.92,DD,Insectivore,CARNIVORA
Dorcatragus megalotis,10918.12,VU,Herbivore,CETARTIODACTYLA
Dorcopsis atrata,6198.87,CR,Herbivore,DIPROTODONTIA
Dorcopsis hageni,5499.99,LC,Herbivore,DIPROTODONTIA
Dorcopsis luctuosa,4939.56,VU,Herbivore,DIPROTODONTIA
Dorcopsis muelleri,5370.79,LC,Herbivore,DIPROTODONTIA
Dorcopsulus macleayi,2780.54,LC,Herbivore,DIPROTODONTIA
Dorcopsulus vanheurni,1890.36,NT,Herbivore,DIPROTODONTIA
Dremomys everetti,129.78,LC,Omnivore,RODENTIA
Dremomys gularis,246.4344257,LC,Omnivore,RODENTIA
Dremomys lokriah,226.99,LC,Omnivore,RODENTIA
Dremomys pernyi,198.63,LC,Omnivore,RODENTIA
Dremomys pyrrhomerus,245,LC,Omnivore,RODENTIA
Dremomys rufigenis,200.32,LC,Omnivore,RODENTIA
Dromiciops gliroides,25,NT,Insectivore,MICROBIOTHERIA
Dryomys laniger,25.91,DD,Omnivore,RODENTIA
Dryomys niethammeri,27.705,VU,Omnivore,RODENTIA
Dryomys nitedula,29.5,LC,Omnivore,RODENTIA
Dyacopterus brooksi,81.1,VU,Herbivore,CHIROPTERA
Dyacopterus spadiceus,81.1,NT,Herbivore,CHIROPTERA
Dymecodon pilirostris,15.46,LC,Insectivore,EULIPOTYPHLA
Echimys chrysurus,609.99,LC,Herbivore,RODENTIA
Echimys saturnus,626.89,DD,Herbivore,RODENTIA
Echimys vieirai,618.44,DD,Herbivore,RODENTIA
Echinops telfairi,152.25,LC,Carnivore,AFROSORICIDA
Echinosorex gymnura,756.53,LC,Omnivore,EULIPOTYPHLA
Echiothrix centrosa,265,VU,Insectivore,RODENTIA
Echiothrix leucura,265,EN,Insectivore,RODENTIA
Echymipera clara,1204.61,LC,Herbivore,PERAMELEMORPHIA
Echymipera davidi,817.05,EN,NotAssigned,PERAMELEMORPHIA
Echymipera echinista,1204.61,DD,NotAssigned,PERAMELEMORPHIA
Echymipera kalubu,825.16,LC,Omnivore,PERAMELEMORPHIA
Echymipera rufescens,1051.48,LC,NotAssigned,PERAMELEMORPHIA
Ectophylla alba,5.55,NT,Herbivore,CHIROPTERA
Eidolon dupreanum,297.58,VU,Herbivore,CHIROPTERA
Eidolon helvum,254.61,NT,Herbivore,CHIROPTERA
Eira barbara,4134.99,LC,Omnivore,CARNIVORA
Elaphodus cephalophus,23087.87,NT,Herbivore,CETARTIODACTYLA
Elephantulus brachyrhynchus,45.11,LC,Omnivore,MACROSCELIDEA
Elephantulus edwardii,49.69,LC,Omnivore,MACROSCELIDEA
Elephantulus fuscipes,57,DD,Omnivore,MACROSCELIDEA
Elephantulus fuscus,50.45666667,DD,Omnivore,MACROSCELIDEA
Elephantulus intufi,48.9,LC,Omnivore,MACROSCELIDEA
Elephantulus myurus,59.51,LC,Omnivore,MACROSCELIDEA
Elephantulus pilicaudus,50.45666667,DD,Omnivore,MACROSCELIDEA
Elephantulus rozeti,43.07,LC,Omnivore,MACROSCELIDEA
Elephantulus rufescens,52.78,LC,Omnivore,MACROSCELIDEA
Elephantulus rupestris,65.56,LC,Omnivore,MACROSCELIDEA
Elephas maximus,3269794,EN,Herbivore,PROBOSCIDEA
Eligmodontia moreni,18,LC,Omnivore,RODENTIA
Eligmodontia morgani,16.5,LC,Omnivore,RODENTIA
Eligmodontia puerulus,28.49,LC,Omnivore,RODENTIA
Eligmodontia typus,17.37,LC,Omnivore,RODENTIA
Eliomys melanurus,100.36,LC,Omnivore,RODENTIA
Eliomys munbyanus,3.365900551,LC,Omnivore,RODENTIA
Eliomys quercinus,114.61,NT,Omnivore,RODENTIA
Eliurus antsingy,81.67625,DD,Omnivore,RODENTIA
Eliurus danieli,81.67625,LC,Omnivore,RODENTIA
Eliurus ellermani,100,DD,Omnivore,RODENTIA
Eliurus grandidieri,81.67625,LC,Omnivore,RODENTIA
Eliurus majori,100,LC,Omnivore,RODENTIA
Eliurus minor,57.53,LC,Omnivore,RODENTIA
Eliurus myoxinus,69.76,LC,Omnivore,RODENTIA
Eliurus penicillatus,100,EN,Omnivore,RODENTIA
Eliurus petteri,75,EN,Omnivore,RODENTIA
Eliurus tanala,89.99,LC,Omnivore,RODENTIA
Eliurus webbi,61.13,LC,Omnivore,RODENTIA
Ellobius alaicus,74.32825,DD,Herbivore,RODENTIA
Ellobius fuscocapillus,80,LC,Herbivore,RODENTIA
Ellobius lutescens,117.313,LC,Herbivore,RODENTIA
Ellobius talpinus,40,LC,Herbivore,RODENTIA
Ellobius tancrei,60,LC,Herbivore,RODENTIA
Emballonura alecto,5.25,LC,Insectivore,CHIROPTERA
Emballonura beccarii,4.31,LC,Insectivore,CHIROPTERA
Emballonura dianae,5.226666667,LC,Insectivore,CHIROPTERA
Emballonura furax,5.226666667,LC,Insectivore,CHIROPTERA
Emballonura monticola,5.35,LC,Insectivore,CHIROPTERA
Emballonura raffrayana,5.61,LC,Insectivore,CHIROPTERA
Emballonura semicaudata,6.29,EN,Insectivore,CHIROPTERA
Emballonura serii,5.226666667,LC,Insectivore,CHIROPTERA
Enchisthenes hartii,16.99,LC,Herbivore,CHIROPTERA
Enhydra lutris,27410.93,EN,Insectivore,CARNIVORA
Eoglaucomys fimbriatus,510,LC,Herbivore,RODENTIA
Eolagurus luteus,26,LC,Herbivore,RODENTIA
Eolagurus przewalskii,46.25861204,LC,Herbivore,RODENTIA
Eonycteris major,70.7,DD,Herbivore,CHIROPTERA
Eonycteris robusta,78.36,NT,Herbivore,CHIROPTERA
Eonycteris spelaea,58.7,LC,Herbivore,CHIROPTERA
Eospalax fontanierii,256.76,LC,Herbivore,RODENTIA
Eospalax rothschildi,104.345,LC,Herbivore,RODENTIA
Eospalax smithii,94.15,LC,Herbivore,RODENTIA
Eothenomys cachinus,46.25861204,LC,Omnivore,RODENTIA
Eothenomys chinensis,45.3,LC,Omnivore,RODENTIA
Eothenomys custos,30.8,LC,Omnivore,RODENTIA
Eothenomys melanogaster,19.59,LC,Omnivore,RODENTIA
Eothenomys miletus,46.25861204,LC,Omnivore,RODENTIA
Eothenomys olitor,22,LC,Omnivore,RODENTIA
Eothenomys proditor,42.5,LC,Omnivore,RODENTIA
Eothenomys wardi,46.25861204,NT,Omnivore,RODENTIA
Eozapus setchuanus,32.576,LC,Herbivore,RODENTIA
Episoriculus caudatus,6.27,LC,Carnivore,EULIPOTYPHLA
Episoriculus fumidus,6.95,LC,Carnivore,EULIPOTYPHLA
Episoriculus leucops,9.35,LC,Carnivore,EULIPOTYPHLA
Episoriculus macrurus,8.157340556,LC,Carnivore,EULIPOTYPHLA
Epixerus ebii,520.96,LC,Omnivore,RODENTIA
Epomophorus angolensis,88.458,NT,Herbivore,CHIROPTERA
Epomophorus anselli,88.458,DD,Herbivore,CHIROPTERA
Epomophorus crypturus,95.04,LC,Herbivore,CHIROPTERA
Epomophorus gambianus,134.59,LC,Herbivore,CHIROPTERA
Epomophorus grandis,49.42,DD,Herbivore,CHIROPTERA
Epomophorus labiatus,69.65,LC,Herbivore,CHIROPTERA
Epomophorus minimus,88.458,LC,Herbivore,CHIROPTERA
Epomophorus wahlbergi,93.59,LC,Herbivore,CHIROPTERA
Epomops buettikoferi,135.67,LC,Herbivore,CHIROPTERA
Epomops dobsonii,122.08,LC,Herbivore,CHIROPTERA
Epomops franqueti,118.99,LC,Herbivore,CHIROPTERA
Eptesicus andinus,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus bobrinskoi,7.54,LC,Insectivore,CHIROPTERA
Eptesicus bottae,15.66,LC,Insectivore,CHIROPTERA
Eptesicus brasiliensis,9.2,LC,Insectivore,CHIROPTERA
Eptesicus chiriquinus,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus diminutus,5.99,LC,Insectivore,CHIROPTERA
Eptesicus dimissus,13.03,DD,Insectivore,CHIROPTERA
Eptesicus floweri,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus furinalis,7.7,LC,Insectivore,CHIROPTERA
Eptesicus fuscus,17.49,LC,Insectivore,CHIROPTERA
Eptesicus gobiensis,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus guadeloupensis,12.56384615,EN,Insectivore,CHIROPTERA
Eptesicus hottentotus,30.33,LC,Insectivore,CHIROPTERA
Eptesicus innoxius,12.56384615,NT,Insectivore,CHIROPTERA
Eptesicus japonensis,12.56384615,EN,Insectivore,CHIROPTERA
Eptesicus nasutus,7.91,LC,Insectivore,CHIROPTERA
Eptesicus nilssonii,10.72,LC,Insectivore,CHIROPTERA
Eptesicus pachyotis,8.1,LC,Insectivore,CHIROPTERA
Eptesicus platyops,12.56384615,DD,Insectivore,CHIROPTERA
Eptesicus serotinus,23.09,LC,Insectivore,CHIROPTERA
Eptesicus tatei,12.56384615,DD,Insectivore,CHIROPTERA
Equus africanus,250000,CR,Herbivore,PERISSODACTYLA
Equus grevyi,408000.3,EN,Herbivore,PERISSODACTYLA
Equus hemionus,235248.1,NT,Herbivore,PERISSODACTYLA
Equus kiang,281138.6,LC,Herbivore,PERISSODACTYLA
Equus quagga,400000,NT,Herbivore,PERISSODACTYLA
Equus zebra,282462.1,VU,Herbivore,PERISSODACTYLA
Eremitalpa granti,22.04,LC,Insectivore,AFROSORICIDA
Eremodipus lichtensteini,51,LC,Herbivore,RODENTIA
Eremoryzomys polius,60.64641072,DD,Omnivore,RODENTIA
Erethizon dorsatum,7419.46,LC,Herbivore,RODENTIA
Erinaceus amurensis,780,LC,Insectivore,EULIPOTYPHLA
Erinaceus concolor,665.99,LC,Insectivore,EULIPOTYPHLA
Erinaceus europaeus,777.95,LC,Carnivore,EULIPOTYPHLA
Erinaceus roumanicus,772,LC,Carnivore,EULIPOTYPHLA
Eropeplus canus,50,VU,Omnivore,RODENTIA
Erophylla bombifrons,16.28,LC,Omnivore,CHIROPTERA
Erophylla sezekorni,15.87,LC,Omnivore,CHIROPTERA
Erythrocebus patas,7966.3,LC,Herbivore,PRIMATES
Euchoreutes naso,24.14,LC,Insectivore,RODENTIA
Euderma maculatum,16.17,LC,Insectivore,CHIROPTERA
Eudiscopus denticulus,10.17892383,LC,Insectivore,CHIROPTERA
Eudorcas albonotata,25000,LC,Herbivore,CETARTIODACTYLA
Eudorcas rufifrons,26999.77,VU,Herbivore,CETARTIODACTYLA
Eudorcas thomsonii,22907.43,NT,Herbivore,CETARTIODACTYLA
Eudorcas tilonura,22907.43,EN,NotAssigned,CETARTIODACTYLA
Eulemur albifrons,2300,EN,Herbivore,PRIMATES
Eulemur cinereiceps,2250,CR,Herbivore,PRIMATES
Eulemur collaris,2250,EN,Herbivore,PRIMATES
Eulemur coronatus,1699.85,EN,Herbivore,PRIMATES
Eulemur flavifrons,2158.365455,CR,NotAssigned,PRIMATES
Eulemur fulvus,2376.99,NT,Herbivore,PRIMATES
Eulemur macaco,2040,VU,Herbivore,PRIMATES
Eulemur mongoz,1771.13,CR,Herbivore,PRIMATES
Eulemur rubriventer,2015.4,VU,Herbivore,PRIMATES
Eulemur rufifrons,2250,NT,Herbivore,PRIMATES
Eulemur rufus,2394.62,VU,Herbivore,PRIMATES
Eulemur sanfordi,2394.03,EN,Herbivore,PRIMATES
Eumops auripendulus,28.49,LC,Insectivore,CHIROPTERA
Eumops bonariensis,12.22,LC,Insectivore,CHIROPTERA
Eumops dabbenei,67.27,LC,Insectivore,CHIROPTERA
Eumops floridanus,38.47,VU,Insectivore,CHIROPTERA
Eumops glaucinus,36.2,LC,Insectivore,CHIROPTERA
Eumops hansae,15.47,LC,Insectivore,CHIROPTERA
Eumops maurus,38.47,DD,Insectivore,CHIROPTERA
Eumops patagonicus,38.47,LC,Insectivore,CHIROPTERA
Eumops perotis,50.97,LC,Insectivore,CHIROPTERA
Eumops trumbulli,38.47,LC,Insectivore,CHIROPTERA
Eumops underwoodi,58.67,LC,Insectivore,CHIROPTERA
Euneomys chinchilloides,75.57,DD,Herbivore,RODENTIA
Euneomys fossor,83,DD,Herbivore,RODENTIA
Euneomys mordax,81.99,LC,Herbivore,RODENTIA
Euneomys petersoni,83,LC,Herbivore,RODENTIA
Euoticus elegantulus,295.48,LC,Omnivore,PRIMATES
Euoticus pallidus,277.37,LC,Herbivore,PRIMATES
Eupetaurus cinereus,2500,EN,Herbivore,RODENTIA
Eupleres goudotii,2763.34,VU,Insectivore,CARNIVORA
Euroscaptor grandis,46.84098624,LC,Insectivore,EULIPOTYPHLA
Euroscaptor klossi,80.33613646,LC,Insectivore,EULIPOTYPHLA
Euroscaptor longirostris,46.84098624,LC,Insectivore,EULIPOTYPHLA
Euroscaptor micrura,60.46,LC,Insectivore,EULIPOTYPHLA
Euroscaptor mizura,25.05,LC,Insectivore,EULIPOTYPHLA
Euroscaptor parvidens,51.90562179,DD,Insectivore,EULIPOTYPHLA
Euryoryzomys emmonsae,59.9882,DD,Omnivore,RODENTIA
