binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Akodon varius,40,DD,Omnivore,RODENTIA
Alcelaphus buselaphus,160937.9,LC,Herbivore,CETARTIODACTYLA
Alces alces,461900.8,LC,Herbivore,CETARTIODACTYLA
Alionycteris paucidentata,16.24,LC,Herbivore,CHIROPTERA
Allactaga balikunica,72.5,LC,Omnivore,RODENTIA
Allactaga bullata,72.5,LC,Omnivore,RODENTIA
Allactaga elater,59,LC,Omnivore,RODENTIA
Allactaga euphratica,232,NT,Herbivore,RODENTIA
Allactaga firouzi,114.1964539,DD,Herbivore,RODENTIA
Allactaga hotsoni,76.5,LC,Herbivore,RODENTIA
Allactaga major,350,LC,Herbivore,RODENTIA
Allactaga severtzovi,159,LC,Herbivore,RODENTIA
Allactaga sibirica,97.5,LC,Insectivore,RODENTIA
Allactaga tetradactyla,52,DD,Herbivore,RODENTIA
Allactaga vinogradovi,61.83099239,NT,Herbivore,RODENTIA
Allactaga williamsi,23.33,LC,Herbivore,RODENTIA
Allactodipus bobrinskii,65,LC,Omnivore,RODENTIA
Allenopithecus nigroviridis,4749.96,LC,Herbivore,PRIMATES
Allocebus trichotis,78.09,VU,Omnivore,PRIMATES
Allocricetulus curtatus,47.833,LC,Herbivore,RODENTIA
Allocricetulus eversmanni,115.558,LC,Omnivore,RODENTIA
Alouatta arctoidea,6361.288889,LC,Herbivore,PRIMATES
Alouatta belzebul,6157.91,VU,Herbivore,PRIMATES
Alouatta caraya,5576.96,LC,Herbivore,PRIMATES
Alouatta discolor,6361.288889,VU,Herbivore,PRIMATES
Alouatta guariba,5188.33,LC,Herbivore,PRIMATES
Alouatta macconnelli,7250,LC,Herbivore,PRIMATES
Alouatta nigerrima,6320,LC,Herbivore,PRIMATES
Alouatta palliata,6576.99,LC,Herbivore,PRIMATES
Alouatta pigra,7172.06,EN,Herbivore,PRIMATES
Alouatta sara,6611.04,LC,Herbivore,PRIMATES
Alouatta ululata,6361.288889,EN,Herbivore,PRIMATES
Alticola albicaudus,42.21130602,DD,Herbivore,RODENTIA
Alticola argentatus,37.69,LC,Herbivore,RODENTIA
Alticola barakshin,46.25861204,LC,Herbivore,RODENTIA
Alticola lemminus,46.25861204,LC,Herbivore,RODENTIA
Alticola macrotis,36,LC,Herbivore,RODENTIA
Alticola montosa,46.25861204,VU,Herbivore,RODENTIA
Alticola olchonensis,42.21130602,EN,Herbivore,RODENTIA
Alticola roylei,37,NT,Herbivore,RODENTIA
Alticola semicanus,46.25861204,LC,Herbivore,RODENTIA
Alticola stoliczkanus,30.14,LC,Herbivore,RODENTIA
Alticola strelzowi,49.99,LC,Herbivore,RODENTIA
Alticola tuvinicus,46.25861204,LC,Herbivore,RODENTIA
Amblysomus corriae,44.845,NT,Insectivore,AFROSORICIDA
Amblysomus hottentotus,62.6,LC,Insectivore,AFROSORICIDA
Amblysomus marleyi,36.245,EN,Insectivore,AFROSORICIDA
Amblysomus robustus,79.5,VU,Insectivore,AFROSORICIDA
Amblysomus septentrionalis,25.35,NT,Insectivore,AFROSORICIDA
Ametrida centurio,10.61,LC,Herbivore,CHIROPTERA
Ammodillus imbellis,49.99,DD,Omnivore,RODENTIA
Ammodorcas clarkei,28049.81,VU,Herbivore,CETARTIODACTYLA
Ammospermophilus harrisii,126.57,LC,Omnivore,RODENTIA
Ammospermophilus interpres,112.53,LC,Omnivore,RODENTIA
Ammospermophilus leucurus,103.92,LC,Omnivore,RODENTIA
Ammospermophilus nelsoni,160.42,EN,Omnivore,RODENTIA
Ammotragus lervia,94202.22,VU,Herbivore,CETARTIODACTYLA
Amorphochilus schnablii,3.3,VU,Insectivore,CHIROPTERA
Amphinectomys savamis,214,DD,Omnivore,RODENTIA
Anathana ellioti,160,LC,Omnivore,SCANDENTIA
Andalgalomys olrogi,32.9,LC,Omnivore,RODENTIA
Andalgalomys pearsoni,25.4,LC,Omnivore,RODENTIA
Andinomys edax,69.75,LC,Herbivore,RODENTIA
Anisomys imitator,510.5,LC,Herbivore,RODENTIA
Anomalurus beecrofti,479.07,LC,Omnivore,RODENTIA
Anomalurus derbianus,665.84,LC,Omnivore,RODENTIA
Anomalurus pelii,1769.99,DD,Omnivore,RODENTIA
Anomalurus pusillus,250,LC,Omnivore,RODENTIA
Anonymomys mindorensis,141.0605074,DD,Omnivore,RODENTIA
Anotomys leander,66.39,VU,Insectivore,RODENTIA
Anoura caudifer,10.81,LC,Omnivore,CHIROPTERA
Anoura cultrata,17.39,LC,Herbivore,CHIROPTERA
Anoura fistulata,14.6025,DD,Herbivore,CHIROPTERA
Anoura geoffroyi,15.15,LC,Insectivore,CHIROPTERA
Anoura latidens,15.06,LC,Omnivore,CHIROPTERA
