Binomial,total_pop
Sus scrofa,4.50E+07
Philantomba monticola,7.00E+06
Odocoileus hemionus,6.00E+06
Macropus rufus,1.20E+07
Macropus giganteus,2.20E+07
Macropus fuliginosus,5.00E+06
Macropus robustus,4500000
Odocoileus virginianus,4.10E+07
Lynx rufus,3500000
Alces alces,2100000
Procyon lotor,4.00E+07
